cell_type,region_a,region_b,kf,kn,omega
Astrocyte,Human A13,Human PnAN,0.23521166643810693,0.0014252173847035885,165.03564225539208
Astrocyte,Human A13,Human PnEN,0.2325848444359855,0.0014985406056728437,155.20756898779868
Astrocyte,Human A13,Human PnRF,0.21332421832976195,0.0014506387913600675,147.0553659534754
Astrocyte,Human A13,Human Pro,0.01406740056050788,0.00042581342936711606,33.03653569925254
Astrocyte,Human A13,Human Pu,0.0501969551360202,0.000741547405458252,67.69217283553184
Astrocyte,Human A13,Human Pul,0.18525242248390938,0.0008798811348472226,210.54255529194353
Astrocyte,Human A13,Human RN,0.20877086078215143,0.0018314746283322342,113.99058308127425
Astrocyte,Human A13,Human S1C,0.01718993685146555,0.0006563981059598642,26.188279179033213
Astrocyte,Human A13,Human SC,0.21926081901356853,0.001393542250502141,157.34063243117413
Astrocyte,Human A13,Human SEP,0.14864424681552874,0.0023665671195836884,62.81007015836394
Astrocyte,Human A13,Human SI,0.07770949947936333,0.0014222975561031736,54.63659776810182
Astrocyte,Human A13,Human SN,0.2047969463398616,0.0012216896327418266,167.63418535380194
Astrocyte,Human A13,Human SN-RN,0.20669471624476932,0.001586548650266754,130.2794693437335
Astrocyte,Human A13,Human STG,0.01799343137694283,0.0005256653605203301,34.22982134324396
Astrocyte,Human A13,Human STH,0.21204531388039244,0.001339066935673817,158.35303540945955
Astrocyte,Human A13,Human SpC,0.31922911296091094,0.003916662936914291,81.50538305254646
Astrocyte,Human A13,Human Sub,0.0522753443404184,0.0008145630791990991,64.17593145986552
Astrocyte,Human A13,Human TF,0.010177276148372355,0.00044427684766326387,22.907509589800053
Astrocyte,Human A13,Human TH-TL,0.01917413481948139,0.0005742267015263795,33.39122818307422
Astrocyte,Human A13,Human V1C,0.030796473025999634,0.0008211174994072652,37.50556168664105
Astrocyte,Human A13,Human V2,0.017936386768499325,0.0006501072184508994,27.589890189558023
Astrocyte,Human A13,Human VA,0.0784297000863525,0.001221208326390707,64.22303090427842
