cell_type,comparison,donor,n_cells_a,n_cells_b,k_n,k_f,omega,raw_js,perm_P,null_mean,null_sd
CD4 T cells,donor_vs_donor_stim,101|1015,382,734,0.001726040562161797,0.05376743624267841,31.150737370468764,0.0024806947657582024,,,
CD4 T cells,donor_vs_donor_stim,101|1016,382,353,0.0030571474052455707,0.04123996700097293,13.489688763522432,0.0025687992775919838,,,
CD4 T cells,donor_vs_donor_stim,101|1039,382,281,0.002476430013573498,0.29181096538810203,117.83533707339367,0.013285544460757323,,,
CD4 T cells,donor_vs_donor_stim,101|107,382,186,0.002715468123510263,0.11728780677418382,43.192481531533076,0.003916789026298187,,,
CD4 T cells,donor_vs_donor_stim,101|1244,382,854,0.002260624670428402,0.06974827007119191,30.85353839740862,0.00376825477264966,,,
CD4 T cells,donor_vs_donor_stim,101|1256,382,954,0.0021636468924530246,0.0762931071026551,35.26134849857971,0.0040890967027954,,,
CD4 T cells,donor_vs_donor_stim,101|1488,382,1484,0.0021757928817140405,0.05586223401790519,25.674426314832957,0.0034102505168292618,,,
CD4 T cells,donor_vs_donor_stim,1015|1016,734,353,0.0029912955270589067,0.03558474939860802,11.896099558439671,0.002093807450675938,,,
CD4 T cells,donor_vs_donor_stim,1015|1039,734,281,0.0021227542626026316,0.10558375464406225,49.73903786423675,0.008260464136574771,,,
CD4 T cells,donor_vs_donor_stim,1015|107,734,186,0.002763353406892774,0.029580797916047456,10.704674198480207,0.0024082762181993427,,,
CD4 T cells,donor_vs_donor_stim,1015|1244,734,854,0.0025939214534572144,0.03645658545469534,14.054621972498627,0.0032736447610182996,,,
CD4 T cells,donor_vs_donor_stim,1015|1256,734,954,0.0020986054508942966,0.0495847012273188,23.627452795468937,0.003450924660618511,,,
CD4 T cells,donor_vs_donor_stim,1015|1488,734,1484,0.0025117587947231903,0.042264886487493894,16.826809395984107,0.004178285350471634,,,
CD4 T cells,donor_vs_donor_stim,1016|1039,353,281,0.002632922272918934,0.1927695387620667,73.21505110303039,0.009627587477055367,,,
CD4 T cells,donor_vs_donor_stim,1016|107,353,186,0.00329812261536063,0.052164323671145464,15.816368811819206,0.0027535473751954184,,,
CD4 T cells,donor_vs_donor_stim,1016|1244,353,854,0.003658377071466318,0.03357614034087746,9.177878519619021,0.002969874532983057,,,
CD4 T cells,donor_vs_donor_stim,1016|1256,353,954,0.0033432996640541408,0.03522390357693329,10.535670480168744,0.00277682664404085,,,
CD4 T cells,donor_vs_donor_stim,1016|1488,353,1484,0.003945830223504763,0.03350283946935996,8.490694624869613,0.003390475630044529,,,
CD4 T cells,donor_vs_donor_stim,1039|107,281,186,0.0033122452983607043,0.11830994908192767,35.71895751213885,0.006145285907735849,,,
CD4 T cells,donor_vs_donor_stim,1039|1244,281,854,0.002836152352203705,0.1428560883441302,50.369680681339375,0.009479928170067287,,,
CD4 T cells,donor_vs_donor_stim,1039|1256,281,954,0.002472165995156239,0.15463328285624223,62.549716790546476,0.00980586057661055,,,
CD4 T cells,donor_vs_donor_stim,1039|1488,281,1484,0.0035896081879537947,0.13347606751351532,37.18402135404128,0.01217043578708127,,,
CD4 T cells,donor_vs_donor_stim,107|1244,186,854,0.003537200435912713,0.04270037827500689,12.07180058033347,0.0031341600528200187,,,
CD4 T cells,donor_vs_donor_stim,107|1256,186,954,0.0032079090317747947,0.05461345692313843,17.024627688062342,0.003553576135734369,,,
CD4 T cells,donor_vs_donor_stim,107|1488,186,1484,0.0032573507739894784,0.05828581055950778,17.89362417610356,0.003810026944343257,,,
CD4 T cells,donor_vs_donor_stim,1244|1256,854,954,0.000981403576137289,0.01452301004877988,14.798203717517584,0.0007757637570640968,,,
CD4 T cells,donor_vs_donor_stim,1244|1488,854,1484,0.0014295698744492137,0.02622882826771767,18.347356597608176,0.001278634318729613,,,
CD4 T cells,donor_vs_donor_stim,1256|1488,954,1484,0.0013201638500891194,0.019581816836372876,14.83286853753114,0.0010947361254871582,,,
CD4 T cells,split_half,101|ctrl,146,146,,,16.830300147507348,,,,
CD4 T cells,split_half,101|ctrl,146,146,,,31.817696654141464,,,,
CD4 T cells,split_half,101|ctrl,146,146,,,23.391948494090357,,,,
CD4 T cells,split_half,101|ctrl,146,146,,,26.00845032667714,,,,
CD4 T cells,split_half,101|ctrl,146,146,,,15.193930556363307,,,,
CD4 T cells,split_half,101|ctrl,146,146,,,13.55782845180291,,,,
CD4 T cells,split_half,101|stim,191,191,,,6.6980253293198215,,,,
CD4 T cells,split_half,101|stim,191,191,,,6.062649543241303,,,,
CD4 T cells,split_half,101|stim,191,191,,,6.74284294377165,,,,
CD4 T cells,split_half,101|stim,191,191,,,6.398670281049309,,,,
CD4 T cells,split_half,101|stim,191,191,,,8.158912897736252,,,,
CD4 T cells,split_half,101|stim,191,191,,,6.224555864713503,,,,
CD4 T cells,split_half,1015|ctrl,424,424,,,7.4739615457411235,,,,
CD4 T cells,split_half,1015|ctrl,424,424,,,7.630074210401151,,,,
CD4 T cells,split_half,1015|ctrl,424,424,,,7.157005181182713,,,,
CD4 T cells,split_half,1015|ctrl,424,424,,,5.9161995554298645,,,,
CD4 T cells,split_half,1015|ctrl,424,424,,,6.790512002956842,,,,
CD4 T cells,split_half,1015|ctrl,424,424,,,7.7763101496643445,,,,
CD4 T cells,split_half,1015|stim,367,367,,,112.9047631839405,,,,
CD4 T cells,split_half,1015|stim,367,367,,,21.53001745051357,,,,
CD4 T cells,split_half,1015|stim,367,367,,,22.090882729528744,,,,
CD4 T cells,split_half,1015|stim,367,367,,,59.97648811192152,,,,
CD4 T cells,split_half,1015|stim,367,367,,,107.92391754868196,,,,
CD4 T cells,split_half,1015|stim,367,367,,,18.567926787926982,,,,
CD4 T cells,split_half,1016|ctrl,211,211,,,40.40311073196347,,,,
