cell_type,region_a,region_b,pair_idx,omega,mu_ct,mu_pair,expected_omega,residual,lowest_in_pair,tier
Oligodendrocyte precursor,Human BM,Human MD,1976,16.663162459186033,22.558656731201385,29.802605017582326,20.64515831527065,0.807122047926402,False,None
Oligodendrocyte precursor,Human BM,Human MD-Re,1977,13.255234427298332,22.558656731201385,35.62809462954647,24.680649683626235,0.5370699149825131,False,Weak
Oligodendrocyte precursor,Human BM,Human MEC,1978,27.340681328765662,22.558656731201385,36.05891516551394,24.979091989769298,1.0945426415004837,False,None
Oligodendrocyte precursor,Human BM,Human MG,1979,21.668581643386982,22.558656731201385,42.459816473809894,29.41318829753271,0.7366961182241037,False,Weak
Oligodendrocyte precursor,Human BM,Human MN,1980,39.72919706933012,22.558656731201385,44.08434348969083,30.538546883149966,1.3009524395953238,False,None
Oligodendrocyte precursor,Human BM,Human MTG,1981,47.03931441519391,22.558656731201385,40.06279270224093,27.75269804104965,1.6949456353979342,False,None
Oligodendrocyte precursor,Human BM,Human MoAN,1982,37.2177186102271,22.558656731201385,40.84727776735489,28.296134373400072,1.315293393758188,False,None
Oligodendrocyte precursor,Human BM,Human MoRF-MoEN,1983,54.20273085434835,22.558656731201385,51.67698983143247,35.798200717592955,1.5141188598261177,False,None
Oligodendrocyte precursor,Human BM,Human MoSR,1984,22.489576417710342,22.558656731201385,41.433219830068026,28.702034013419873,0.7835534027726103,False,None
Oligodendrocyte precursor,Human BM,Human NAC,1985,35.4622088815102,22.558656731201385,56.59748443458362,39.20677490134499,0.904491863223712,False,None
Oligodendrocyte precursor,Human BM,Human PAG,1986,17.290813898835058,22.558656731201385,44.567744930478916,30.87341355903324,0.5600551382429153,False,Weak
Oligodendrocyte precursor,Human BM,Human PAG-DR,1987,22.409213344609995,22.558656731201385,28.732457033267053,19.903834711380238,1.125874167946003,False,None
Oligodendrocyte precursor,Human BM,Human PB,1988,48.98485987260087,22.558656731201385,34.04078028401316,23.581069430816044,2.0772959435243776,False,None
Oligodendrocyte precursor,Human BM,Human PN,1989,31.986323950053144,22.558656731201385,31.691448920678003,21.95361713587503,1.4569956172636072,False,None
Oligodendrocyte precursor,Human BM,Human PTR,1990,23.798111735291197,22.558656731201385,32.88832384962702,22.78272829502213,1.0445681231466435,False,None
Oligodendrocyte precursor,Human BM,Human Pir,1991,37.496354913778035,22.558656731201385,41.37699240682957,28.663083591007712,1.3081758909408312,False,None
Oligodendrocyte precursor,Human BM,Human PnAN,1992,31.28489384657717,22.558656731201385,33.79693707061793,23.412151923716284,1.3362673345240799,False,None
Oligodendrocyte precursor,Human BM,Human PnEN,1993,18.02584554876145,22.558656731201385,36.224313459704824,25.093668348669205,0.7183423841543445,False,Weak
Oligodendrocyte precursor,Human BM,Human PnRF,1994,28.768196647267153,22.558656731201385,44.233331793747894,30.64175554972683,0.9388560195443377,False,None
Oligodendrocyte precursor,Human BM,Human Pro,1995,22.031448076180215,22.558656731201385,37.308089206866796,25.844432312598176,0.8524639972626028,False,None
Oligodendrocyte precursor,Human BM,Human Pu,1996,39.978600090435414,22.558656731201385,40.428681944962435,28.006160492985767,1.427493072477685,False,None
Oligodendrocyte precursor,Human BM,Human Pul,1997,58.726608311109054,22.558656731201385,46.6082202480447,32.286912008067986,1.8188982673980778,False,None
Oligodendrocyte precursor,Human BM,Human RN,1998,31.92573501581881,22.558656731201385,36.557556017091926,25.32451546255685,1.260665186784011,False,None
Oligodendrocyte precursor,Human BM,Human S1C,1999,25.712621059744585,22.558656731201385,45.288962510587545,31.373022607044803,0.8195774242667592,False,None
Oligodendrocyte precursor,Human BM,Human SC,2000,41.84513083663442,22.558656731201385,36.94010386235965,25.58951782809028,1.6352449904585513,False,None
Oligodendrocyte precursor,Human BM,Human SEP,2001,66.71084199389692,22.558656731201385,47.56252598767462,32.94798821480252,2.0247318761612823,False,None
Oligodendrocyte precursor,Human BM,Human SI,2002,37.024913452396305,22.558656731201385,45.431692419645934,31.471895895708535,1.1764436936080795,False,None
Oligodendrocyte precursor,Human BM,Human SN,2003,63.79963503631652,22.558656731201385,52.60320831571634,36.4398200401753,1.7508219021382854,False,None
Oligodendrocyte precursor,Human BM,Human SN-RN,2004,70.72369264385705,22.558656731201385,48.367648530539334,33.50572074693618,2.1107945469379032,False,None
Oligodendrocyte precursor,Human BM,Human STG,2005,47.99646511925854,22.558656731201385,42.89656747760898,29.71573881660532,1.6151866664152348,False,None
Oligodendrocyte precursor,Human BM,Human STH,2006,50.95989460795326,22.558656731201385,42.35947359367215,29.343677775045435,1.7366566999072888,False,None
Oligodendrocyte precursor,Human BM,Human SpC,2007,45.96293283288313,22.558656731201385,41.83599208568031,28.98104643455583,1.5859652596284028,False,None
Oligodendrocyte precursor,Human BM,Human Sub,2008,72.71212586688432,22.558656731201385,50.519176156015796,34.99614846026643,2.0777179508607775,False,None
Oligodendrocyte precursor,Human BM,Human TF,2009,26.13083593646203,22.558656731201385,61.788420020613955,42.80269166482067,0.6104951562646431,False,Weak
Oligodendrocyte precursor,Human BM,Human TH-TL,2010,68.63609412937818,22.558656731201385,47.125165658103235,32.64501559749296,2.102498432705581,False,None
Oligodendrocyte precursor,Human BM,Human V1C,2011,38.446678816599544,22.558656731201385,39.896377106376015,27.637416966769926,1.3911096996809154,False,None
Oligodendrocyte precursor,Human BM,Human V2,2012,25.079616510966932,22.558656731201385,29.261858439627932,20.27056694301567,1.237242973098404,False,None
Oligodendrocyte precursor,Human BM,Human VA,2013,29.649729081886267,22.558656731201385,38.086396868838726,26.38358937252361,1.1237943656280551,False,None
Oligodendrocyte precursor,Human BM,Human VLN,2014,52.54713643030252,22.558656731201385,39.74562840759438,27.532988821970783,1.9085155182415554,False,None
Oligodendrocyte precursor,Human BM,Human VPL,2015,37.827341071999875,22.558656731201385,36.79700497737718,25.49038893873786,1.4839844602964647,False,None
Oligodendrocyte precursor,Human BNST,Human CA1-3,2016,12.305614534727175,22.558656731201385,11.788603514799954,8.16631921053271,1.5068740539624887,False,None
Oligodendrocyte precursor,Human BNST,Human CA1C-CA3C,2017,20.861735120073885,22.558656731201385,16.63201158907039,11.521493243802002,1.8106798032708542,False,None
Oligodendrocyte precursor,Human BNST,Human CA1R-CA2R,2018,14.403800075361904,22.558656731201385,19.8980163837368,13.783952716876307,1.0449687670305696,False,None
Oligodendrocyte precursor,Human BNST,Human CA1R-CA2R-CA3R,2019,15.121206264736902,22.558656731201385,18.22501248632314,12.625012741535464,1.1977180993242982,False,None
Oligodendrocyte precursor,Human BNST,Human CA1U,2020,18.119346532021225,22.558656731201385,25.172964443734728,17.438067440714683,1.0390684973333617,False,None
Oligodendrocyte precursor,Human BNST,Human CA1U-CA2U-CA3U,2021,19.532359061200953,22.558656731201385,22.116626057291267,15.320850176789651,1.274887413936828,False,None
Oligodendrocyte precursor,Human BNST,Human CA2U-CA3U,2022,9.310045377027276,22.558656731201385,16.018837653394858,11.096729268661218,0.8389900439691002,True,None
Oligodendrocyte precursor,Human BNST,Human CA3R,2023,12.71170414548796,22.558656731201385,18.728542551866216,12.973823119470632,0.9797963197456196,False,None
Oligodendrocyte precursor,Human BNST,Human CA4C-DGC,2024,16.320263662424043,22.558656731201385,23.32424111119579,16.157401342603997,1.0100797347523087,False,None
Oligodendrocyte precursor,Human BNST,Human CBL,2025,12.877817437142987,22.558656731201385,18.463158747998467,12.789983799319721,1.0068673767849445,False,None
Oligodendrocyte precursor,Human BNST,Human CBV,2026,12.924924217245058,22.558656731201385,23.344186859143427,16.17121836040672,0.7992548198403021,False,None
Oligodendrocyte precursor,Human BNST,Human CEN,2027,15.256380483233734,22.558656731201385,25.925169390472263,17.959142366942256,0.849504958060606,False,None
Oligodendrocyte precursor,Human BNST,Human CM,2028,12.974598347056286,22.558656731201385,16.49460087479071,11.426304720891174,1.1355025674516017,False,None
Oligodendrocyte precursor,Human BNST,Human CM-Pf,2029,12.447379607518673,22.558656731201385,20.982762738431894,14.535389049753283,0.8563499446015825,False,None
Oligodendrocyte precursor,Human BNST,Human CMN,2030,11.765638356634456,22.558656731201385,24.37351644107468,16.88426583276778,0.6968403881559685,False,Weak
Oligodendrocyte precursor,Human BNST,Human CaB,2031,11.75567799251747,22.558656731201385,20.440063643147777,14.159445110185423,0.8302357826198405,False,None
Oligodendrocyte precursor,Human BNST,Human CbDN,2032,15.552900222589868,22.558656731201385,28.347302163361324,19.63702638169194,0.7920191132955956,False,None
Oligodendrocyte precursor,Human BNST,Human Cla,2033,14.243311173669897,22.558656731201385,23.295539749738705,16.137519048730834,0.8826208744144032,False,None
Oligodendrocyte precursor,Human BNST,Human CoA,2034,16.43220379699925,22.558656731201385,22.268515192062758,15.426068335802158,1.0652230652227803,False,None
Oligodendrocyte precursor,Human BNST,Human DGR-CA4Rpy,2035,12.986528498770333,22.558656731201385,25.305724639743534,17.530034410144076,0.7408159159833388,False,Weak
Oligodendrocyte precursor,Human BNST,Human DGU-CA4Upy,2036,11.896115533351571,22.558656731201385,25.453129777430107,17.632146369894848,0.6746833473242382,False,Weak
Oligodendrocyte precursor,Human BNST,Human DTg,2037,15.464117051143294,22.558656731201385,22.813618068163105,15.80367744643399,0.9785138366407676,False,None
Oligodendrocyte precursor,Human BNST,Human ETH,2038,13.209527256290688,22.558656731201385,21.877053264489536,15.154890918110576,0.8716345982078223,False,None
Oligodendrocyte precursor,Human BNST,Human FI,2039,16.257523880879944,22.558656731201385,22.461808796595506,15.559968612793167,1.044830120512792,False,None
Oligodendrocyte precursor,Human BNST,Human GPe,2040,13.820339847623442,22.558656731201385,32.89264275011316,22.785720126918424,0.6065351356306915,False,Weak
Oligodendrocyte precursor,Human BNST,Human GPi,2041,11.499285915524249,22.558656731201385,32.598288184566876,22.581811891281284,0.5092277790146708,False,Weak
Oligodendrocyte precursor,Human BNST,Human Gpe,2042,11.614242709093977,22.558656731201385,28.57461264738934,19.794491171320583,0.5867411598799454,False,Weak
Oligodendrocyte precursor,Human BNST,Human HTHma,2043,13.109035997984066,22.558656731201385,19.517563897787593,13.520401869585415,0.9695744345789951,False,None
Oligodendrocyte precursor,Human BNST,Human HTHma-HTHtub,2044,11.43266237989078,22.558656731201385,21.093591477963344,14.612163441527384,0.7824072339212587,False,None
Oligodendrocyte precursor,Human BNST,Human HTHpo,2045,18.0622757404841,22.558656731201385,23.38530339063093,16.199701014907344,1.1149758704721013,False,None
