pair,omega,kn,kf,same_tissue,same_ct
Hear|fibroblast vs Marr|neutrophil,8.15233886595625,0.026497671081268423,0.21601799381314954,False,False
Live|hepatocyte vs Lung|leukocyte,8.146185296882791,0.02995540913905506,0.2440223134906787,False,False
Live|hepatocyte vs Sple|T cell,8.071888483814822,0.025254271973850648,0.20384966711285246,False,False
Lung|NK cell vs Marr|neutrophil,8.065342458546864,0.030272095152015274,0.24415481433871947,False,False
Lung|monocyte vs Marr|neutrophil,8.050107735351697,0.02269965839054677,0.1827346955995816,False,False
Kidn|leukocyte vs Hear|endothelial cell,8.031632801503818,0.014771484228799588,0.11863913725892311,False,False
Live|hepatocyte vs Lung|monocyte,8.023685061569426,0.025447501892877464,0.2041827407921406,False,False
Live|Kupffer cell vs Lung|macrophage,7.997046544188964,0.00839383468919586,0.0671258866937272,False,False
Live|hepatocyte vs Lung|NK cell,7.95470115869563,0.03250048868875265,0.25853167503059493,False,False
Hear|fibroblast vs Hear|smooth muscle cell,7.851770471840444,0.009019488289706184,0.07081895182422568,True,False
Kidn|fenestrated cell vs Hear|endothelial cell,7.801918418926276,0.007049214725719594,0.05499739820755803,False,False
Sple|T cell vs Marr|neutrophil,7.801371015651096,0.024616462599260196,0.19204215782972772,False,False
Live|Kupffer cell vs Marr|granulocyte,7.799690649860646,0.02207333010825719,0.1721651464566611,False,False
Lung|B cell vs Marr|neutrophil,7.782827510950234,0.02501437629094347,0.1946825759664161,False,False
Live|hepatocyte vs Lung|endothelial cell,7.7380956086988295,0.029847241629864234,0.23096080938782532,False,False
Live|hepatocyte vs Lung|dendritic cell,7.72013828228329,0.026030950080082833,0.20096253423745275,False,False
Live|Kupffer cell vs Hear|cardiac muscle,7.713078095569902,0.027309647309260617,0.21064144245879757,False,False
Live|hepatocyte vs Marr|monocyte,7.613892057285217,0.026120598183824312,0.1988794150433586,False,False
Live|Kupffer cell vs Hear|fibroblast,7.581488905217657,0.013259012289767926,0.10052305456902008,False,False
Live|Kupffer cell vs Lung|stromal cell,7.470745488598535,0.01373500426256788,0.10261072113046063,False,False
Lung|dendritic cell vs Marr|granulocyte,7.428676639556,0.01783960811300349,0.13252468004790272,False,False
Lung|stromal cell vs Hear|fibroblast,7.423666398546543,0.004470649475130753,0.03318861028820791,False,False
Hear|smooth muscle cell vs Hear|endocardial cell,7.4105988740894935,0.010506924718043964,0.07786260448567967,True,False
Lung|stromal cell vs Hear|smooth muscle cell,7.35902353488686,0.009447773481001065,0.06952638739896679,False,False
Live|hepatocyte vs Lung|T cell,7.332055415225103,0.027128855372393547,0.19891027094201671,False,False
