section,cancer,metric,n,test,comparison,stat,se,p,extra
B_hallmark,TCGA-LUAD,kf_panel,300,hypergeometric (BH),KRAS Signaling Dn,5.0,,0.02121417396980506,"q=0.53, set_size=69"
B_hallmark,TCGA-LUAD,kf_panel,300,hypergeometric (BH),Myogenesis,7.0,,0.044528560655386344,"q=0.742, set_size=141"
B_hallmark,TCGA-LUAD,kf_panel,300,hypergeometric (BH),Estrogen Response Early,7.0,,0.0958159809784829,"q=1, set_size=169"
B_hallmark,TCGA-LUAD,kf_panel,300,hypergeometric (BH),Epithelial Mesenchymal Transition,7.0,,0.11725067393714528,"q=1, set_size=178"
B_hallmark,TCGA-LUAD,kf_panel,300,hypergeometric (BH),Coagulation,4.0,,0.17111247373152658,"q=1, set_size=94"
B_hallmark,TCGA-LUAD,kf_panel,300,hypergeometric (BH),KRAS Signaling Up,6.0,,0.1809979890095076,"q=1, set_size=165"
B_hallmark,TCGA-LUAD,kf_panel,300,hypergeometric (BH),Pancreas Beta Cells,1.0,,0.22609208389646368,"q=1, set_size=11"
B_hallmark,TCGA-LUAD,kf_panel,300,hypergeometric (BH),Inflammatory Response,5.0,,0.3220461539576598,"q=1, set_size=163"
B_hallmark,TCGA-LUAD,kf_panel,300,hypergeometric (BH),Hedgehog Signaling,1.0,,0.4284982838299988,"q=1, set_size=24"
B_hallmark,TCGA-LUAD,kf_panel,300,hypergeometric (BH),Apical Junction,4.0,,0.43962392353128293,"q=1, set_size=147"
B_hallmark,TCGA-LUAD,kf_panel,300,hypergeometric (BH),Complement,4.0,,0.49013728353221864,"q=1, set_size=157"
B_hallmark,TCGA-LUAD,kf_panel,300,hypergeometric (BH),IL-6/JAK/STAT3 Signaling,2.0,,0.5037751210364538,"q=1, set_size=73"
B_hallmark,TCGA-LUAD,kf_panel,300,hypergeometric (BH),Pperoxisome,2.0,,0.5530814457094555,"q=1, set_size=80"
B_hallmark,TCGA-LUAD,kf_panel,300,hypergeometric (BH),Wnt-beta Catenin Signaling,1.0,,0.5579219561946677,"q=1, set_size=35"
B_hallmark,TCGA-LUAD,kf_panel,300,hypergeometric (BH),Fatty Acid Metabolism,3.0,,0.5789124208144887,"q=1, set_size=130"
B_hallmark,TCGA-LUAD,kf_panel,300,hypergeometric (BH),Xenobiotic Metabolism,3.0,,0.624358746764829,"q=1, set_size=139"
B_hallmark,TCGA-LUAD,kf_panel,300,hypergeometric (BH),heme Metabolism,3.0,,0.6838786742112122,"q=1, set_size=152"
B_hallmark,TCGA-LUAD,kf_panel,300,hypergeometric (BH),UV Response Up,2.0,,0.7634158673364008,"q=1, set_size=119"
B_hallmark,TCGA-LUAD,kf_panel,300,hypergeometric (BH),Spermatogenesis,1.0,,0.764838566185686,"q=1, set_size=62"
B_hallmark,TCGA-LUAD,kf_panel,300,hypergeometric (BH),Bile Acid Metabolism,1.0,,0.8265516374678046,"q=1, set_size=75"
B_hallmark,TCGA-LUAD,kf_panel,300,hypergeometric (BH),Androgen Response,1.0,,0.8562022264817519,"q=1, set_size=83"
B_hallmark,TCGA-LUAD,kf_panel,300,hypergeometric (BH),Allograft Rejection,2.0,,0.8801886994664362,"q=1, set_size=157"
B_hallmark,TCGA-LUAD,kf_panel,300,hypergeometric (BH),Hypoxia,2.0,,0.8845440447694976,"q=1, set_size=159"
