pair_type,cancer,sample_a,sample_b,omega,kn,kf
TT,TCGA-LUAD,TCGA-55-7911-01,TCGA-64-5781-01,100.22870460169071,0.005482565214613268,0.5495104093549783
TT,TCGA-LUAD,TCGA-05-4432-01,TCGA-38-4630-01,102.95286549058811,0.00432138335033639,0.44489879880044936
TT,TCGA-LUAD,TCGA-91-6847-01,TCGA-KN-8433-01,31.253102859092664,0.018407392459349498,0.5752881298997365
TT,TCGA-LUAD,TCGA-73-4676-01,TCGA-78-7539-01,130.28129355380236,0.004591765480760231,0.59822114652914
TT,TCGA-LUAD,TCGA-55-6969-01,TCGA-78-7156-01,148.65105083055988,0.004192011046915456,0.623146847217298
TT,TCGA-LUAD,TCGA-05-5420-01,TCGA-55-8506-01,31.569578912211888,0.014325801409437029,0.45225951807589854
TT,TCGA-LUAD,TCGA-49-AAR0-01,TCGA-93-A4JP-01,92.46956005293653,0.005029404564938115,0.46506682744805816
TT,TCGA-LUAD,TCGA-55-8513-01,TCGA-86-7954-01,156.4675187960446,0.002824007242119793,0.4418654062365448
TT,TCGA-LUAD,TCGA-78-7539-01,TCGA-97-A4M6-01,148.98030033602075,0.0025561304625264063,0.3808130840052356
TT,TCGA-LUAD,TCGA-50-5941-01,TCGA-55-6972-01,22.834039605517383,0.00603567674592609,0.13781888186257663
TT,TCGA-LUAD,TCGA-55-6969-01,TCGA-55-7284-01,126.64113959051285,0.0033852364350106696,0.4287101999130763
TT,TCGA-LUAD,TCGA-78-7158-01,TCGA-78-8655-01,146.7950159372171,0.003423148349954067,0.5025011165869657
TT,TCGA-LUAD,TCGA-44-6147-01,TCGA-TQ-A7RM-01,69.31245197351258,0.0066228827709998465,0.45904824399113076
TT,TCGA-LUAD,TCGA-38-4627-01,TCGA-86-A4P8-01,101.95358657031412,0.005731979378597521,0.5843958557950977
TT,TCGA-LUAD,TCGA-55-8091-01,TCGA-TQ-A7RM-01,58.10188946942928,0.006228403812815171,0.36188202990315893
TT,TCGA-LUAD,TCGA-38-4627-01,TCGA-67-3770-01,94.62771178242716,0.005415792772738744,0.5124840775720738
TT,TCGA-LUAD,TCGA-44-2655-01,TCGA-55-8299-01,142.46725037578764,0.0032214180412937776,0.45894657065408007
TT,TCGA-LUAD,TCGA-38-4629-01,TCGA-50-5939-01,83.09156072270896,0.004588709199417078,0.38128300908221735
TT,TCGA-LUAD,TCGA-50-6594-01,TCGA-93-A4JP-01,83.87931396840564,0.0054601241398700906,0.4579914670346341
TT,TCGA-LUAD,TCGA-78-7540-01,TCGA-MP-A4TC-01,165.13304893897495,0.003536824814401631,0.5840466651651655
TT,TCGA-LUAD,TCGA-38-6178-01,TCGA-73-4666-01,82.72454135157074,0.0035708291858607315,0.29539520664513175
TT,TCGA-LUAD,TCGA-55-A48Z-01,TCGA-MP-A4TH-01,160.0096848405783,0.0034233212139153767,0.5477645485466653
TT,TCGA-LUAD,TCGA-05-4432-01,TCGA-55-6983-01,171.4863484473417,0.0023229312737452342,0.39835100182870253
TT,TCGA-LUAD,TCGA-50-5930-01,TCGA-TQ-A7RP-01,78.15240854268826,0.007165198884453366,0.5599775505074136
TT,TCGA-LUAD,TCGA-55-8204-01,TCGA-73-4662-01,130.75476233418826,0.004336869321788388,0.5670663174448729
TT,TCGA-LUAD,TCGA-55-6968-01,TCGA-55-6972-01,80.66543900203847,0.0076857887795577055,0.6199775259799638
TT,TCGA-LUAD,TCGA-78-7149-01,TCGA-91-7771-01,67.09090274709284,0.006276642853079638,0.4211056352342013
TT,TCGA-LUAD,TCGA-44-7671-01,TCGA-49-4501-01,155.0678888755602,0.003319950230526447,0.5148176734196654
TT,TCGA-LUAD,TCGA-49-4507-01,TCGA-L3-A4E7-01,38.172121582738924,0.011095017281101249,0.4235203486167863
TT,TCGA-LUAD,TCGA-49-4506-01,TCGA-50-5072-01,23.727934447806952,0.010137118582506328,0.24053288521535587
TT,TCGA-LUAD,TCGA-86-8668-01,TCGA-97-7938-01,136.7033463709128,0.0034933406483505297,0.4775513566430516
TT,TCGA-LUAD,TCGA-73-4659-01,TCGA-78-7147-01,147.4415751116535,0.0037016276601522127,0.5457738126897066
TT,TCGA-LUAD,TCGA-64-5774-01,TCGA-J2-A4AD-01,133.95163972915194,0.0042268256384258105,0.5661902251163567
TT,TCGA-LUAD,TCGA-55-8087-01,TCGA-MP-A4T9-01,190.25872741856904,0.0021988215831174043,0.4183449962244007
TT,TCGA-LUAD,TCGA-49-4510-01,TCGA-KN-8432-01,55.659267687398696,0.010873837253688866,0.6052298184922769
TT,TCGA-LUAD,TCGA-67-6217-01,TCGA-73-4662-01,182.5222607257597,0.002259596875317821,0.41242673001187125
TT,TCGA-LUAD,TCGA-44-6146-01,TCGA-73-7499-01,38.90845612514549,0.013422397972633983,0.5222447826124711
TT,TCGA-LUAD,TCGA-64-1680-01,TCGA-78-7153-01,133.75298315530418,0.004368418412255425,0.5842889943097205
TT,TCGA-LUAD,TCGA-44-6147-01,TCGA-97-8176-01,105.11049430069959,0.004834583391450719,0.5081654500133377
TT,TCGA-LUAD,TCGA-73-4668-01,TCGA-78-7146-01,141.44450705864452,0.0036697213540730126,0.5190619279694387
TT,TCGA-LUAD,TCGA-55-8085-01,TCGA-67-6215-01,166.18949669974697,0.0033281645156837776,0.5531059857954441
TT,TCGA-LUAD,TCGA-49-4487-01,TCGA-86-A4JF-01,152.9794775613132,0.0031388074639811647,0.480173126005389
TT,TCGA-LUAD,TCGA-50-6594-01,TCGA-N6-A4V9-01,113.73019221830735,0.005654327567597874,0.6430677611281804
