cell_type,region_a,region_b,omega,kn,kf
Astrocyte,Human A1C,Human STH,20.698979317170316,0.005687377128347459,0.11772290154861156
Astrocyte,Human A1C,Human SpC,13.627168467718755,0.011879015470756198,0.16187734505063212
Astrocyte,Human A1C,Human Sub,7.85554532545459,0.00492531193214856,0.03869101112499533
Astrocyte,Human A1C,Human TF,3.6579842581241913,0.003618287961850489,0.013235640405809353
Astrocyte,Human A1C,Human TH-TL,4.511167337814439,0.004764613952083762,0.021493970837935236
Astrocyte,Human A1C,Human V1C,5.9404073821156524,0.0024736111985783423,0.014694258224518732
Astrocyte,Human A1C,Human V2,4.213593531746027,0.0028218646734843008,0.011890190735656064
Astrocyte,Human A1C,Human VA,11.051284148105355,0.005577235706002711,0.06163561654799493
Astrocyte,Human A1C,Human VLN,28.37356592820683,0.004013683385599882,0.11388251015626666
Astrocyte,Human A1C,Human VPL,8.57425524239206,0.01328436933447355,0.11390357340798216
Astrocyte,Human A5-A7,Human A13,2.6177492080344944,0.003329642502528812,0.008716169024032789
Astrocyte,Human A5-A7,Human A14,6.196896122782807,0.003079468947016918,0.019083149177999192
Astrocyte,Human A5-A7,Human A19,3.499441725088749,0.0018631669402921257,0.006520044131664203
Astrocyte,Human A5-A7,Human A23,2.886888508957179,0.002665498334044346,0.007694996511197127
Astrocyte,Human A5-A7,Human A24,7.227237740458181,0.0030120851340879463,0.021769055358553446
Astrocyte,Human A5-A7,Human A25,9.064679481591192,0.002183974783644713,0.01979703140961679
Astrocyte,Human A5-A7,Human A29-A30,2.262906563731222,0.010714319333447343,0.02424550354557032
Astrocyte,Human A5-A7,Human A32,5.795507659321779,0.001970382211226502,0.011419365196954577
Astrocyte,Human A5-A7,Human A35-36,2.300449934846723,0.024132078318409654,0.055514637995301507
Astrocyte,Human A5-A7,Human A35-A36,8.763132106494444,0.002811476133583746,0.024637336772850585
Astrocyte,Human A5-A7,Human A35r,9.315241354438326,0.004455838252837147,0.04150720876151681
Astrocyte,Human A5-A7,Human A38,5.719467976199611,0.0027439827900003107,0.01569412169464964
Astrocyte,Human A5-A7,Human A40,3.5714276406927246,0.00202254724038841,0.007223381118929961
Astrocyte,Human A5-A7,Human A43,2.7947095199118075,0.0021543010990143882,0.00602064579017198
Astrocyte,Human A5-A7,Human A44-A45,4.274299234369297,0.00213199258570472,0.009112774276758703
Astrocyte,Human A5-A7,Human A46,5.026016219506278,0.001624637790095643,0.008165455883843539
Astrocyte,Human A5-A7,Human ANC,28.93156421625545,0.004616095115722786,0.13355085226887692
Astrocyte,Human A5-A7,Human AON,8.17386243401674,0.0024225572146319855,0.019801649410936616
Astrocyte,Human A5-A7,Human BL,10.751740459267749,0.0047575191120549105,0.05115161072282036
Astrocyte,Human A5-A7,Human BM,10.536193311208901,0.0038329721776137957,0.04038493581982429
Astrocyte,Human A5-A7,Human BNST,22.252366002571584,0.004428193577089458,0.0985377842076313
Astrocyte,Human A5-A7,Human CA1-3,8.125633792788035,0.00686180507425174,0.055756515190864345
Astrocyte,Human A5-A7,Human CA1C-CA3C,17.44377077607689,0.0033556689582234724,0.05853552010764699
Astrocyte,Human A5-A7,Human CA1R-CA2R,13.370246073000198,0.003361316033301224,0.04494162249435829
Astrocyte,Human A5-A7,Human CA1R-CA2R-CA3R,4.89652678777131,0.009854596342399477,0.04825329497323221
Astrocyte,Human A5-A7,Human CA1U,19.281814975743703,0.0032781678330682635,0.06320902561665692
Astrocyte,Human A5-A7,Human CA1U-CA2U-CA3U,5.890792822996974,0.009753160248729145,0.05745384639475303
Astrocyte,Human A5-A7,Human CA2U-CA3U,11.311162410423632,0.0052819864313520485,0.05974540637467696
Astrocyte,Human A5-A7,Human CA3R,17.650522148678,0.005576420789612813,0.09842673865740942
Astrocyte,Human A5-A7,Human CA4C-DGC,18.57377394973449,0.0033374142776888905,0.061988378370409866
Astrocyte,Human A5-A7,Human CBL,21.463341164269373,0.00979796599298827,0.21029708682341658
Astrocyte,Human A5-A7,Human CBV,19.426084694394277,0.010472990753406852,0.20344920537928962
Astrocyte,Human A5-A7,Human CEN,6.9969018134041345,0.011128462273739696,0.07786475786352878
Astrocyte,Human A5-A7,Human CM,20.32016122864352,0.00765689253133071,0.15558929074703642
Astrocyte,Human A5-A7,Human CM-Pf,33.17555965620103,0.004568820880848493,0.1515731896910861
Astrocyte,Human A5-A7,Human CMN,20.169527547088798,0.00326395008963613,0.06583233124523888
Astrocyte,Human A5-A7,Human CaB,22.743959582061933,0.0028369898166451086,0.06452438172449765
Astrocyte,Human A5-A7,Human CbDN,26.60752013935893,0.006877184292413193,0.18298481956246693
Astrocyte,Human A5-A7,Human Cla,18.6571319237276,0.00279829682113512,0.05220819295366551
Astrocyte,Human A5-A7,Human CoA,10.918863214376362,0.005247533239730455,0.05729709765751008
Astrocyte,Human A5-A7,Human DGR-CA4Rpy,18.178922900741906,0.003690630347652017,0.06709168454510431
Astrocyte,Human A5-A7,Human DGU-CA4Upy,22.869004857536265,0.003141816338047403,0.07185021309629286
Astrocyte,Human A5-A7,Human DTg,27.851298814414772,0.006098641966181593,0.16985509976225358
Astrocyte,Human A5-A7,Human ETH,18.584863930929252,0.008541830007202253,0.15874874840498232
Astrocyte,Human A5-A7,Human FI,10.60305845502504,0.0025745210043324413,0.02729779670262665
Astrocyte,Human A5-A7,Human GPe,18.062728725347093,0.00554575181096691,0.10017141053959766
Astrocyte,Human A5-A7,Human GPi,18.593945488947906,0.0075696320506969455,0.14074932572205195
Astrocyte,Human A5-A7,Human Gpe,10.739250901623254,0.01035046976591474,0.11115629176582412
Astrocyte,Human A5-A7,Human HTHma,12.284453848015799,0.013101562973013174,0.160945545678853
Astrocyte,Human A5-A7,Human HTHma-HTHtub,9.240033869168911,0.015425337441983374,0.14253064040728572
Astrocyte,Human A5-A7,Human HTHpo,17.281280990916883,0.005213537107448143,0.09009659971038339
Astrocyte,Human A5-A7,Human HTHpo-HTHso,13.729845990229505,0.010061204775694367,0.13813879204644525
Astrocyte,Human A5-A7,Human HTHso,9.483652993904904,0.009754791458565332,0.0925110572209411
Astrocyte,Human A5-A7,Human HTHso-HTHtub,22.029634733849644,0.006037532952157367,0.1330046456296077
Astrocyte,Human A5-A7,Human HTHtub,12.268330737756123,0.010806411457644289,0.13257662985065738
Astrocyte,Human A5-A7,Human IC,41.46962286379657,0.0035636365073269645,0.14778266198250645
Astrocyte,Human A5-A7,Human IO,19.398923758244504,0.009863276646204792,0.1913369516662003
Astrocyte,Human A5-A7,Human ITG,5.1398405572533905,0.001919571931455632,0.009866293665860882
Astrocyte,Human A5-A7,Human Idg,5.826872506186519,0.002040931943933132,0.011892250231101773
Astrocyte,Human A5-A7,Human Ig,3.9775509984358677,0.001962803008076505,0.007807149064507628
Astrocyte,Human A5-A7,Human LEC,11.55093002635352,0.0024046130649600225,0.02777551725380869
Astrocyte,Human A5-A7,Human LG,29.809857160206306,0.0048274887534507155,0.14390675018286822
Astrocyte,Human A5-A7,Human LP,25.72674674527383,0.005828290738299017,0.14994295978204383
Astrocyte,Human A5-A7,Human LP-VPL,23.612342286137817,0.0065773347677933035,0.15530627986765028
Astrocyte,Human A5-A7,Human La,8.623310039985776,0.007628378437896549,0.06578187237232433
Astrocyte,Human A5-A7,Human M1C,5.050197043274471,0.005093277316110489,0.02572205404239812
Astrocyte,Human A5-A7,Human MD,33.091226006592336,0.004379362279074097,0.14491846694158622
Astrocyte,Human A5-A7,Human MD-Re,27.02950075746566,0.005499519506356241,0.1486492666627532
Astrocyte,Human A5-A7,Human MEC,8.065596714341872,0.0032988856424144113,0.02660748119844725
Astrocyte,Human A5-A7,Human MG,13.355522106388827,0.009812414459394367,0.13104991822949083
Astrocyte,Human A5-A7,Human MN,9.957786992518942,0.01951564386510853,0.1943326246306098
Astrocyte,Human A5-A7,Human MTG,5.83191252043971,0.0018558827713063965,0.010823345970450121
Astrocyte,Human A5-A7,Human MoAN,24.751047399664866,0.007123697085917167,0.17631896423439028
Astrocyte,Human A5-A7,Human MoRF-MoEN,32.47735670968281,0.005252372792244534,0.17058318474595843
Astrocyte,Human A5-A7,Human MoSR,12.638084850476071,0.014496253439835426,0.18320488098664572
Astrocyte,Human A5-A7,Human NAC,18.000463430880867,0.0038927646695826974,0.07007156807984838
Astrocyte,Human A5-A7,Human PAG,36.805058035216035,0.004279151727581861,0.15749442767514535
Astrocyte,Human A5-A7,Human PAG-DR,31.904416033484416,0.004626612933036187,0.14760938384148609
Astrocyte,Human A5-A7,Human PB,39.9818799654065,0.004036073085728795,0.1613697896452165
Astrocyte,Human A5-A7,Human PN,31.41563346443508,0.00554196274344493,0.17410427022162098
Astrocyte,Human A5-A7,Human PTR,25.000726973149987,0.005672468563448862,0.14181583781856133
Astrocyte,Human A5-A7,Human Pir,14.063555704414695,0.0026392187549699212,0.037116799976655485
Astrocyte,Human A5-A7,Human PnAN,25.989508130770425,0.006585776492323945,0.1711610916946899
Astrocyte,Human A5-A7,Human PnEN,25.297161605395086,0.006637520108578284,0.16791041884576438
Astrocyte,Human A5-A7,Human PnRF,34.792709483627846,0.004611915657218801,0.16046104162460834
Astrocyte,Human A5-A7,Human Pro,4.511583228550238,0.002383721261544353,0.01075435686512212
Astrocyte,Human A5-A7,Human Pu,17.810726616286193,0.0028246489647768274,0.05030905049861588
Astrocyte,Human A5-A7,Human Pul,45.570195307022814,0.0031486880330902334,0.14348632862880745
Astrocyte,Human A5-A7,Human RN,16.918688667273138,0.008790360688117557,0.1487213757552978
Astrocyte,Human A5-A7,Human S1C,3.6756724625720656,0.003797389654617553,0.013957960583133786
Astrocyte,Human A5-A7,Human SC,30.755502654040235,0.0047995744544430865,0.14761332487188805
Astrocyte,Human A5-A7,Human SEP,16.48413042281484,0.0064688402857640505,0.10663320695489342
Astrocyte,Human A5-A7,Human SI,15.460983407213654,0.0036467524221341805,0.056382378688832765
Astrocyte,Human A5-A7,Human SN,38.5956251147954,0.0036759451826774737,0.1418754022131579
