sample,cancer,type,stromal_score,immune_score,admix
TCGA-43-2576-01,TCGA-LUSC,Tumor,12206.180577384981,16769.611736249568,28975.79231363455
TCGA-22-4593-11,TCGA-LUSC,Normal,14775.372044233252,18936.03033684308,33711.40238107633
TCGA-CJ-5679-01,TCGA-KIRC,Tumor,8579.777032645874,11703.829652153476,20283.60668479935
TCGA-KL-8346-01,TCGA-KIRC,Tumor,-1635.8597019503686,-4166.719627627917,-5802.579329578286
TCGA-BP-4766-01,TCGA-KIRC,Tumor,9948.30838329672,15359.252194003824,25307.560577300545
TCGA-DD-AACT-01,TCGA-LIHC,Tumor,1992.6247588600854,13075.491269715076,15068.116028575161
TCGA-DX-A7EU-01,TCGA-KIRC,Tumor,11396.003472696135,13328.651606121963,24724.655078818098
TCGA-B6-A0WZ-01,TCGA-BRCA,Tumor,8648.283635411928,6769.461864365039,15417.745499776967
TCGA-33-6737-11,TCGA-LUSC,Normal,14465.55031962031,18888.589007537772,33354.13932715808
TCGA-C8-A135-01,TCGA-BRCA,Tumor,12588.051797767508,14622.543876558873,27210.59567432638
TCGA-55-8299-01,TCGA-LUAD,Tumor,15201.013644543938,18501.36076219207,33702.37440673601
TCGA-39-5027-01,TCGA-LUSC,Tumor,-2809.161996772138,5803.212497203407,2994.050500431269
TCGA-22-5485-01,TCGA-LUSC,Tumor,7451.226883283354,12554.252029374391,20005.478912657745
TCGA-BH-A0E2-01,TCGA-BRCA,Tumor,12945.691906563643,13443.660458120099,26389.352364683742
TCGA-BH-A0BJ-01,TCGA-BRCA,Tumor,13522.461370476729,14351.15684963985,27873.61822011658
TCGA-BH-A203-01,TCGA-BRCA,Tumor,11983.230873788318,14872.349847401176,26855.580721189493
TCGA-A2-A1G1-01,TCGA-BRCA,Tumor,13621.448947286215,16188.353185016746,29809.80213230296
TCGA-BP-5183-01,TCGA-KIRC,Tumor,7905.762981453154,16952.558051575445,24858.3210330286
TCGA-55-A491-01,TCGA-LUAD,Tumor,10536.229423079352,16034.731779250218,26570.96120232957
TCGA-FY-A3NM-01,TCGA-LIHC,Tumor,2214.3828267577665,3986.4909531200065,6200.873779877773
TCGA-KL-8330-01,TCGA-KIRC,Tumor,-2594.685356563441,-908.6453417608609,-3503.330698324302
TCGA-BH-A0C7-01,TCGA-BRCA,Tumor,12261.429788359714,13734.302183661723,25995.731972021436
TCGA-50-6595-01,TCGA-LUAD,Tumor,14128.306745444894,16601.274518881026,30729.58126432592
TCGA-BP-4981-01,TCGA-KIRC,Tumor,6419.718565275569,15745.99667082696,22165.71523610253
TCGA-AK-3428-01,TCGA-KIRC,Tumor,9078.090624986806,15878.083263096127,24956.173888082933
TCGA-E2-A14X-01,TCGA-BRCA,Tumor,10839.630543403775,15827.863821907533,26667.494365311308
TCGA-BH-A8FZ-01,TCGA-BRCA,Tumor,14563.766001066568,16876.300481083792,31440.06648215036
TCGA-S3-AA17-01,TCGA-BRCA,Tumor,11831.87891153208,18023.62511766783,29855.50402919991
TCGA-AR-A1AR-01,TCGA-BRCA,Tumor,14110.535366483415,17039.220202423847,31149.75556890726
TCGA-D8-A13Z-01,TCGA-BRCA,Tumor,12979.829601498266,15723.199079200826,28703.02868069909
TCGA-L5-A88T-01,TCGA-LUSC,Tumor,9694.980862179833,14041.303110933502,23736.283973113335
TCGA-BH-A0DV-11,TCGA-BRCA,Normal,9918.49259097183,11511.499650338334,21429.992241310163
TCGA-DX-A48O-01,TCGA-KIRC,Tumor,7525.325281030888,11917.29606985916,19442.621350890047
TCGA-A7-A6VX-01,TCGA-BRCA,Tumor,12507.845822422529,11857.20917365872,24365.05499608125
TCGA-DD-A39V-01,TCGA-LIHC,Tumor,-134.8540327879964,11901.481107716896,11766.6270749289
TCGA-BP-4340-01,TCGA-KIRC,Tumor,7587.802562872261,14615.586146925434,22203.388709797695
TCGA-85-A512-01,TCGA-LUSC,Tumor,8345.419640432425,11573.955589450768,19919.375229883193
TCGA-55-8302-01,TCGA-LUAD,Tumor,8999.21501307889,15408.240871157057,24407.455884235947
TCGA-44-4112-01,TCGA-LUAD,Tumor,11784.508724656564,14695.909507279572,26480.418231936135
TCGA-60-2710-01,TCGA-LUSC,Tumor,12349.589487355192,16129.888336215514,28479.477823570705
TCGA-KN-8419-11,TCGA-LUAD,Normal,6972.296045938645,8271.417284965108,15243.713330903753
TCGA-05-4430-01,TCGA-LUAD,Tumor,14307.873795355761,16933.705307681153,31241.579103036915
TCGA-AR-A255-01,TCGA-BRCA,Tumor,14788.668564360964,15310.580100663155,30099.24866502412
TCGA-AR-A1AT-01,TCGA-BRCA,Tumor,11643.93484051347,16882.920284175732,28526.855124689202
TCGA-A2-A0CU-01,TCGA-BRCA,Tumor,11670.958292469117,11281.855444098455,22952.813736567572
TCGA-B0-5120-01,TCGA-KIRC,Tumor,12963.11113049767,16383.656940397104,29346.768070894774
TCGA-DX-A6BG-01,TCGA-KIRC,Tumor,15727.9122651744,17858.983749526862,33586.89601470126
TCGA-BH-A0AZ-01,TCGA-BRCA,Tumor,14434.745647521337,14089.925404573321,28524.671052094658
TCGA-MM-A84U-01,TCGA-KIRC,Tumor,11183.959903586245,16286.462152818323,27470.422056404568
TCGA-BH-A1ET-11,TCGA-BRCA,Normal,13331.49018907057,14093.83112396878,27425.32131303935
TCGA-63-6202-01,TCGA-LUSC,Tumor,11779.699496402773,18279.65960823822,30059.359104640993
TCGA-E2-A1IH-01,TCGA-BRCA,Tumor,15436.921941726807,17076.523735484112,32513.44567721092
TCGA-B0-5095-01,TCGA-KIRC,Tumor,14712.706234952933,16748.087594116678,31460.79382906961
TCGA-BP-4167-01,TCGA-KIRC,Tumor,13931.153286890007,18700.790778500235,32631.944065390242
TCGA-ZP-A9D2-01,TCGA-LIHC,Tumor,7660.303813071012,12645.381924813595,20305.685737884607
TCGA-BH-A18R-01,TCGA-BRCA,Tumor,11290.193336869812,13688.795928446696,24978.989265316508
TCGA-HU-A4G3-01,TCGA-LIHC,Tumor,7036.121476824534,12158.148765912414,19194.270242736948
TCGA-DX-A48K-01,TCGA-KIRC,Tumor,14201.345120988564,14077.706692256925,28279.05181324549
TCGA-DD-A73B-01,TCGA-LIHC,Tumor,-2489.4657029043738,1444.5043514233366,-1044.9613514810371
TCGA-B6-A0RS-01,TCGA-BRCA,Tumor,11105.546717471963,15180.762951904278,26286.30966937624
TCGA-33-AAS8-01,TCGA-LUSC,Tumor,1634.0846983271076,12006.049808143387,13640.134506470495
TCGA-AR-A24H-01,TCGA-BRCA,Tumor,9922.74335115177,14582.924657408952,24505.668008560722
