pair_type,cancer,organ,sample_a,sample_b,kn,kf,omega_floor,omega_raw
TT,TCGA-LUAD,Lung,TCGA-44-8120-01,TCGA-75-6211-01,0.0021872792138346057,0.340623994176359,155.72954381950973,155.72954381950973
TT,TCGA-LUAD,Lung,TCGA-49-6745-01,TCGA-97-A4M2-01,0.002239617027983216,0.24603833449164064,109.8573244521181,109.8573244521181
TT,TCGA-LUAD,Lung,TCGA-97-8547-01,TCGA-KN-8427-01,0.002614131787351575,0.09338925441860385,35.72476906882274,35.72476906882274
TT,TCGA-LUAD,Lung,TCGA-55-1596-01,TCGA-MP-A4SV-01,0.0024730596464474916,0.2579042649939329,104.28550130782652,104.28550130782652
TT,TCGA-LUAD,Lung,TCGA-55-6970-01,TCGA-78-7167-01,0.0017180939830081583,0.3262184551336204,189.87229939683186,189.87229939683186
TT,TCGA-LUAD,Lung,TCGA-50-5045-01,TCGA-55-8508-01,0.0028001807636640103,0.2861896658573078,102.2039968172738,102.2039968172738
TT,TCGA-LUAD,Lung,TCGA-44-A479-01,TCGA-55-8094-01,0.003263031121200992,0.2013240677628688,61.698482265400344,61.698482265400344
TT,TCGA-LUAD,Lung,TCGA-75-6205-01,TCGA-97-8172-01,0.0016175788427938665,0.24035435246342282,148.58895659656696,148.58895659656696
TT,TCGA-LUAD,Lung,TCGA-05-4425-01,TCGA-MP-A4TH-01,0.001836865765955843,0.31953158344793336,173.95478176471968,173.95478176471968
TT,TCGA-LUAD,Lung,TCGA-50-5941-01,TCGA-MT-A51W-01,0.0021518208736319,0.19057740927288228,88.5656476373987,88.5656476373987
TT,TCGA-LUAD,Lung,TCGA-50-5044-01,TCGA-55-8514-01,0.0033220600260480612,0.34018991905953777,102.40330288800632,102.40330288800632
TT,TCGA-LUAD,Lung,TCGA-38-7271-01,TCGA-MT-A67F-01,0.0024198987642375996,0.3185299229171904,131.62944153886733,131.62944153886733
TT,TCGA-LUAD,Lung,TCGA-05-4425-01,TCGA-KN-8429-01,0.0031594660280413103,0.23971124472723945,75.87080937086284,75.87080937086284
TT,TCGA-LUAD,Lung,TCGA-44-6148-01,TCGA-91-6848-01,0.002236065609738609,0.4049996305894348,181.12153276073965,181.12153276073965
TT,TCGA-LUAD,Lung,TCGA-67-4679-01,TCGA-KN-8429-01,0.003308916848840133,0.21751888870493924,65.73718792032675,65.73718792032675
TT,TCGA-LUAD,Lung,TCGA-44-2659-01,TCGA-49-4505-01,0.0019150682544383625,0.27721982625074426,144.75715192305003,144.75715192305003
TT,TCGA-LUAD,Lung,TCGA-55-7903-01,TCGA-73-4668-01,0.0015981966830986754,0.294160174455788,184.05755534760178,184.05755534760178
TT,TCGA-LUAD,Lung,TCGA-50-6593-01,TCGA-55-6969-01,0.0011775997865145537,0.16971897481417486,144.12279685996475,144.12279685996475
TT,TCGA-LUAD,Lung,TCGA-05-4432-01,TCGA-50-6592-01,0.002063845960923504,0.29027922823399144,140.64965783788483,140.64965783788483
TT,TCGA-LUAD,Lung,TCGA-73-4666-01,TCGA-KN-8419-01,0.004477621971394861,0.3505499683444081,78.2893175404009,78.2893175404009
TT,TCGA-LUAD,Lung,TCGA-78-7159-01,TCGA-NJ-A55O-01,0.001508983539431445,0.30663388516115775,203.20558650804853,203.20558650804853
TT,TCGA-LUAD,Lung,TCGA-50-5045-01,TCGA-55-7903-01,0.0032162842554992847,0.30221101535372147,93.96278169039114,93.96278169039114
TT,TCGA-LUAD,Lung,TCGA-86-6851-01,TCGA-KN-8419-01,0.00427951066914094,0.2853718501252738,66.68328979363397,66.68328979363397
TT,TCGA-LUAD,Lung,TCGA-67-3772-01,TCGA-75-6207-01,0.004813241825457529,0.3335029545373578,69.28863469386482,69.28863469386482
TT,TCGA-LUAD,Lung,TCGA-05-5420-01,TCGA-MP-A4T8-01,0.006602811466711277,0.37329621184225903,56.53594892482824,56.53594892482824
TT,TCGA-LUAD,Lung,TCGA-44-6775-01,TCGA-86-8673-01,0.004582705547057454,0.3157239102043746,68.89465337939949,68.89465337939949
TT,TCGA-LUAD,Lung,TCGA-50-6673-01,TCGA-55-7574-01,0.001588842794415048,0.26682362057948217,167.93582191856592,167.93582191856592
TT,TCGA-LUAD,Lung,TCGA-44-7672-01,TCGA-KN-8431-01,0.005143765477985349,0.24219989185822988,47.08610703478106,47.08610703478106
TT,TCGA-LUAD,Lung,TCGA-05-4390-01,TCGA-L4-A4E5-01,0.0029092090250070913,0.3592264451762287,123.47907698909778,123.47907698909778
TT,TCGA-LUAD,Lung,TCGA-05-4427-01,TCGA-50-8457-01,0.0018232433147822842,0.3118766099187642,171.055945956399,171.055945956399
TT,TCGA-LUAD,Lung,TCGA-44-7671-01,TCGA-64-1681-01,0.0016608133049114953,0.26494577077596454,159.52772656170617,159.52772656170617
TT,TCGA-LUAD,Lung,TCGA-44-A479-01,TCGA-55-8508-01,0.0020870703165325965,0.20368247618852195,97.59253177770965,97.59253177770965
TT,TCGA-LUAD,Lung,TCGA-05-4418-01,TCGA-55-A494-01,0.003237706202049743,0.4411829813468585,136.26405665453902,136.26405665453902
