pair,ct_i,ct_j,organ_i,organ_j,same_organ,same_ct,omega,js_raw,spearman_dist,cosine_dist,marker_jaccard_dist
"Sple|cd8-positive, .. vs Sple|naive thymus-d..","cd8-positive, alpha-beta memory t cell","naive thymus-derived cd4-positive, alpha-beta t cell",Spleen,Spleen,True,False,37.859052659155005,0.021853457812560734,0.11922248676539504,0.04034006595611572,0.3122362869198312
"Sple|cd8-positive, .. vs Sple|naive b cell","cd8-positive, alpha-beta memory t cell",naive b cell,Spleen,Spleen,True,False,21.878114702125654,0.07336805698287412,0.1932922417527967,0.1456242799758911,0.46153846153846156
"Sple|cd8-positive, .. vs Sple|type i nk t cell","cd8-positive, alpha-beta memory t cell",type i nk t cell,Spleen,Spleen,True,False,15.606336077025192,0.01014828558591965,0.10802099027945089,0.013503313064575195,0.2142857142857143
"Sple|cd8-positive, .. vs Sple|naive thymus-d..","cd8-positive, alpha-beta memory t cell","naive thymus-derived cd8-positive, alpha-beta t cell",Spleen,Spleen,True,False,12.137989237227886,0.03339548195220664,0.17079587193759993,0.055389463901519775,0.3539094650205762
"Sple|cd8-positive, .. vs Sple|EC","cd8-positive, alpha-beta memory t cell",endothelial cell,Spleen,Spleen,True,False,20.54824755280406,0.14280697168370404,0.2461648446012098,0.3234133720397949,0.9100817438692098
"Sple|cd8-positive, .. vs Sple|mature nk t cell","cd8-positive, alpha-beta memory t cell",mature nk t cell,Spleen,Spleen,True,False,15.209451859440511,0.026903600674100893,0.15342948208991414,0.038995444774627686,0.3263598326359832
"Sple|cd8-positive, .. vs Sple|regulatory t c..","cd8-positive, alpha-beta memory t cell",regulatory t cell,Spleen,Spleen,True,False,37.18968956884381,0.029337727321435587,0.1672156231773504,0.04818296432495117,0.3122362869198312
"Sple|cd8-positive, .. vs Sple|intermediate m..","cd8-positive, alpha-beta memory t cell",intermediate monocyte,Spleen,Spleen,True,False,7.4514796963389855,0.15080105234548713,0.3114398721308098,0.30253511667251587,0.8059701492537313
"Sple|cd8-positive, .. vs Sple|innate lymphoi..","cd8-positive, alpha-beta memory t cell",innate lymphoid cell,Spleen,Spleen,True,False,22.50274910481611,0.05058097831924548,0.21875953322698383,0.07811915874481201,0.36734693877551017
"Sple|cd8-positive, .. vs Sple|erythrocyte","cd8-positive, alpha-beta memory t cell",erythrocyte,Spleen,Spleen,True,False,5.625243103997362,0.19712201014899394,0.2817923869097587,0.45687443017959595,0.9189189189189189
"Sple|cd8-positive, .. vs Sple|hematopoietic ..","cd8-positive, alpha-beta memory t cell",hematopoietic stem cell,Spleen,Spleen,True,False,19.74538619680648,0.12762747945376185,0.255277751002155,0.24533826112747192,0.5765124555160142
