cell_type,region_a,region_b,omega,kn,kf,expected_omega,observed_residual,null_le_count,p_value,q_value
Astrocyte,Human A1C,Human ANC,18.103987823670387,0.0064340891051114,0.1164826708153475,14.498586511574128,1.2486726074447387,0,9.999000099990002e-05,0.0002751999299680118
Astrocyte,Human A1C,Human AON,7.058958689083035,0.002628485787857,0.018554372591325,9.250045168608894,0.7631269426703378,0,9.999000099990002e-05,0.0002751999299680118
Astrocyte,Human A1C,Human BL,5.7022171806668895,0.0085492966764692,0.048749946391181,8.202987603582107,0.6951390708157144,0,9.999000099990002e-05,0.0002751999299680118
Astrocyte,Human A1C,Human BM,5.593749900708356,0.0074919932255994,0.0419083363618048,8.988233565711111,0.6223414044387711,0,9.999000099990002e-05,0.0002751999299680118
Astrocyte,Human A1C,Human BNST,12.660245815066236,0.0062990412485888,0.0797474106063767,10.55711963124477,1.1992140145496761,0,9.999000099990002e-05,0.0002751999299680118
Astrocyte,Human A1C,Human CA1-3,6.4647943467183575,0.0067683714582611,0.0437561295398566,8.78122755002233,0.7362062205872252,0,9.999000099990002e-05,0.0002751999299680118
Astrocyte,Human A1C,Human CA1C-CA3C,13.956027170987207,0.0032154537397109,0.0448749597584578,14.275140245357399,0.9776455384055527,0,9.999000099990002e-05,0.0002751999299680118
Astrocyte,Human A1C,Human CA1R-CA2R,7.530985267660069,0.0046871232859143,0.035298656413927,10.331060118348333,0.7289653899394863,0,9.999000099990002e-05,0.0002751999299680118
Astrocyte,Human A1C,Human CA1R-CA2R-CA3R,6.280334574347092,0.0055756244719418,0.035016787144712,8.766833999340054,0.7163743005536389,0,9.999000099990002e-05,0.0002751999299680118
Astrocyte,Human A1C,Human CA1U,9.573302518603771,0.0053618713786556,0.0513308167737132,12.599130196037253,0.7598383673830769,0,9.999000099990002e-05,0.0002751999299680118
Astrocyte,Human A1C,Human CA1U-CA2U-CA3U,5.697051323414798,0.0070111716962283,0.0399430049906863,7.085436047257101,0.8040509130867434,0,9.999000099990002e-05,0.0002751999299680118
Astrocyte,Human A1C,Human CA2U-CA3U,8.79939836762536,0.0049208432769603,0.0433004602986247,15.259923134299383,0.5766345144850141,0,9.999000099990002e-05,0.0002751999299680118
Astrocyte,Human A1C,Human CA3R,9.277842934190428,0.0089810741235128,0.083324995098274,10.242542975269101,0.9058144014227748,0,9.999000099990002e-05,0.0002751999299680118
Astrocyte,Human A1C,Human CA4C-DGC,14.482499818953324,0.0030932513603092,0.044798012265656,14.62478026907771,0.9902712760460941,0,9.999000099990002e-05,0.0002751999299680118
Astrocyte,Human A1C,Human CBL,18.597031056874386,0.0105393574492577,0.1960007578033459,19.873540505166602,0.9357683927551632,0,9.999000099990002e-05,0.0002751999299680118
Astrocyte,Human A1C,Human CBV,18.94311221435153,0.0098067154887721,0.1857697119580303,20.775433648353452,0.9118034566682971,0,9.999000099990002e-05,0.0002751999299680118
Astrocyte,Human A1C,Human CEN,4.34379462033809,0.0180118683449192,0.0782398568188979,6.155842953748767,0.705637660508025,0,9.999000099990002e-05,0.0002751999299680118
Astrocyte,Human A1C,Human CM,11.99912034724438,0.0108326420759041,0.1299821759473967,13.605727098038738,0.8819168766786488,0,9.999000099990002e-05,0.0002751999299680118
Astrocyte,Human A1C,Human CM-Pf,19.095846839786876,0.0063556848992105,0.1213671853972718,12.79285134628499,1.4926966883995145,0,9.999000099990002e-05,0.0002751999299680118
Astrocyte,Human A1C,Human CMN,8.34728958752834,0.0061770198143308,0.0515613731781198,10.537488164337823,0.7921517402769852,0,9.999000099990002e-05,0.0002751999299680118
Astrocyte,Human A1C,Human CaB,11.767057814472086,0.0046032997531697,0.054167294332894,15.382219983419493,0.7649778658188354,0,9.999000099990002e-05,0.0002751999299680118
Astrocyte,Human A1C,Human CbDN,28.88660053577596,0.0053295393749202,0.1539522749630114,22.977885765269985,1.2571478869233794,0,9.999000099990002e-05,0.0002751999299680118
Astrocyte,Human A1C,Human Cla,7.790042076011412,0.0047632432575346,0.0371058653944727,11.532798591266074,0.6754684922626589,0,9.999000099990002e-05,0.0002751999299680118
Astrocyte,Human A1C,Human CoA,6.479395394638933,0.0096384083061474,0.0624510583905011,10.150605122619421,0.6383260225738039,0,9.999000099990002e-05,0.0002751999299680118
Astrocyte,Human A1C,Human DGR-CA4Rpy,8.197920421125614,0.0062015978878104,0.0508402059680908,11.428205598201114,0.7173409990467821,0,9.999000099990002e-05,0.0002751999299680118
Astrocyte,Human A1C,Human DGU-CA4Upy,9.74228028759154,0.0050413878181104,0.0491146131624814,12.718805347484942,0.7659744780603951,0,9.999000099990002e-05,0.0002751999299680118
