cell_type,region_a,region_b,omega,omega_cal,kn,kf
Astrocyte,Human A13,Human BNST,137.06456908376623,20.549410657236315,0.0009512571499429,0.1303836513447857
Astrocyte,Human A13,Human CA1-3,59.35528554588468,8.898843410177614,0.0010862027973091,0.064471877195024
Astrocyte,Human A13,Human CA1C-CA3C,109.07931769158358,16.353720793340866,0.0007199702659215,0.0785338653649487
Astrocyte,Human A13,Human CA1R-CA2R,83.98022318773447,12.590738109105617,0.0007843881017101,0.0658730878474179
Astrocyte,Human A13,Human CA1R-CA2R-CA3R,38.3878255676033,5.755296187046972,0.0012786800386335,0.0490857462798423
Astrocyte,Human A13,Human CA1U,97.32291139162314,14.591141138174384,0.0007854550387777,0.0764427711410703
Astrocyte,Human A13,Human CA1U-CA2U-CA3U,48.35690340321264,7.249910555204294,0.0013303911219358,0.0643335949719458
Astrocyte,Human A13,Human CA2U-CA3U,82.92576592632817,12.432648564666891,0.0007850165493904,0.0650980986230492
Astrocyte,Human A13,Human CA3R,99.31758803787471,14.890193109126644,0.0014651219346869,0.1455123767344965
Astrocyte,Human A13,Human CA4C-DGC,137.05887041337792,20.548556283864755,0.0005358333769775,0.0734407173783341
Astrocyte,Human A13,Human CBL,137.18419922163088,20.56734621013956,0.002369450457777,0.3250511636454652
Astrocyte,Human A13,Human CBV,132.485258756651,19.86285738480525,0.0025329130885184,0.3355736459404713
Astrocyte,Human A13,Human CEN,64.84830760790754,9.722384948711776,0.002056699217745,0.1333734635292749
Astrocyte,Human A13,Human CM,115.64275249524,17.337744002284857,0.0019934179272988,0.2305243359861983
Astrocyte,Human A13,Human CM-Pf,181.51540148655707,27.21370337129791,0.0011918402806518,0.2163373670503674
Astrocyte,Human A13,Human CMN,98.26792209798384,14.732821903745704,0.000878537860552,0.0863320900408629
Astrocyte,Human A13,Human CaB,125.0487849172797,18.747943765709103,0.0006796883015551,0.0849941962319567
Astrocyte,Human A13,Human CbDN,157.48952103953562,23.611622344757965,0.0016286724930607,0.2564988508623979
Astrocyte,Human A13,Human Cla,81.55399746587908,12.226986126818453,0.0008115245923845,0.0661830745508317
Astrocyte,Human A13,Human CoA,45.19313546444096,6.775582528401943,0.0013747736466796,0.0621303316473388
