rep,tissue,cell_type,kn,kf,omega,n_half_a,n_half_b
13,Heart,fibroblast,0.00011076505286127116,0.0010900014612815537,9.840662132367122,1026,1026
13,Marrow,neutrophil,0.0002439545089686429,0.0006328341862358844,2.594066364714033,299,300
14,Liver,hepatocyte,0.00036804962937137046,0.0024651160404715756,6.69778161353402,199,200
14,Heart,endothelial cell,0.000256443056612519,0.002144594774500332,8.362849838203175,568,569
14,Spleen,B cell,0.00025059005069729583,0.0013380524884074208,5.339607397357296,619,619
14,Marrow,B cell,0.00021167112711306449,0.0017198636360811715,8.125168791502222,924,924
14,Heart,fibroblast,0.00012096748432927659,0.0008088419571150381,6.686441084559133,1026,1026
14,Marrow,neutrophil,0.00021779838607756196,0.0007527149671504025,3.45601719418778,299,300
15,Liver,hepatocyte,0.00026691302105872315,0.0020154046544681612,7.550791814029766,199,200
15,Heart,endothelial cell,0.0002701598508298337,0.001940386823161418,7.18236561502847,568,569
15,Spleen,B cell,0.0002488337791938423,0.0017566110906495126,7.059375525061277,619,619
15,Marrow,B cell,0.00018549161476126753,0.001219307438119649,6.573383059330897,924,924
15,Heart,fibroblast,0.0001070580404364014,0.0007340572907932727,6.856629243362106,1026,1026
15,Marrow,neutrophil,0.000258731235316452,0.0021367295229575258,8.2584907861786,299,300
16,Liver,hepatocyte,0.00025340211988775436,0.002319316499137917,9.152711509143131,199,200
16,Heart,endothelial cell,0.000290884735728561,0.0013351690169179616,4.5900277770638125,568,569
16,Spleen,B cell,0.0002415078256843597,0.0013177760065095773,5.456452612976002,619,619
16,Marrow,B cell,0.0001675901200766716,0.0009229396611821264,5.507124529536028,924,924
16,Heart,fibroblast,0.00013373656613285617,0.0005893985821181277,4.407161026795089,1026,1026
16,Marrow,neutrophil,0.00023143606160946992,0.00043689307910669455,1.8877485041372555,299,300
17,Liver,hepatocyte,0.0003826773011131104,0.004424810607821964,11.562772589205897,199,200
17,Heart,endothelial cell,0.0002600401373262925,0.0015676003435391354,6.028301475522396,568,569
17,Spleen,B cell,0.0002919457853599954,0.0014412497548326993,4.936703412434979,619,619
17,Marrow,B cell,0.00018493770598018114,0.0014477318742629414,7.828213649509028,924,924
17,Heart,fibroblast,0.0001267636152440829,0.0007592377576925297,5.9893981110480325,1026,1026
17,Marrow,neutrophil,0.00021608231385945867,0.001672808770725136,7.741534884771466,299,300
18,Liver,hepatocyte,0.00034281697385140324,0.007309429826245875,21.321668364688982,199,200
18,Heart,endothelial cell,0.0003223627264263032,0.0009767889823043083,3.0300928185244658,568,569
18,Spleen,B cell,0.00020845367491066839,0.0015962212966898477,7.657438984339802,619,619
18,Marrow,B cell,0.00015567716069675842,0.001040977039199867,6.686767889013425,924,924
18,Heart,fibroblast,0.00011068710809275688,0.0010246346659770452,9.257037098831702,1026,1026
18,Marrow,neutrophil,0.00021868291611992975,0.0009980097470867096,4.5637298276166325,299,300
19,Liver,hepatocyte,0.00030161034448896384,0.002257221391219857,7.483899118395293,199,200
19,Heart,endothelial cell,0.0002376012469388727,0.0020554181018200834,8.65070418737692,568,569
19,Spleen,B cell,0.0002462353825664978,0.001605996772363182,6.522201462779094,619,619
19,Marrow,B cell,0.00015099455264129291,0.0010783332881928566,7.141537686823556,924,924
19,Heart,fibroblast,0.00010902068853562317,0.0006722211262387898,6.165995970747676,1026,1026
19,Marrow,neutrophil,0.0002107829633153199,0.0012735999063236058,6.042233614575242,299,300
20,Liver,hepatocyte,0.00022677570744259636,0.002004622742420279,8.839671431419559,199,200
20,Heart,endothelial cell,0.00025077519597060895,0.0019636539515527902,7.830335627702717,568,569
20,Spleen,B cell,0.00024851025924597946,0.0015827033558054003,6.368764656266424,619,619
20,Marrow,B cell,0.00015652034642317064,0.0014244640997304822,9.100823837172458,924,924
20,Heart,fibroblast,0.00011086018888801336,0.000973866020868407,8.784632523512732,1026,1026
