pair_type,cancer,sample_a,sample_b,kn,kf,omega_floor,omega_raw
TT,TCGA-LUSC,TCGA-18-3408-01,TCGA-CC-A7II-01,0.01189100548004858,0.38392817873122914,32.287276242148415,32.287276242148415
TT,TCGA-LUSC,TCGA-22-4601-01,TCGA-52-7810-01,0.004224224831302612,0.20985239456692867,49.67832038954638,49.67832038954638
TT,TCGA-LUSC,TCGA-22-1005-01,TCGA-IG-A3YC-01,0.0026413779916763165,0.36277431538891786,137.34282504515298,137.34282504515298
TT,TCGA-LUSC,TCGA-34-5239-01,TCGA-L5-A8NS-01,0.002709912196846397,0.37300296939255595,137.64393172097246,137.64393172097246
TT,TCGA-LUSC,TCGA-22-4594-01,TCGA-94-A4VJ-01,0.0041567959657101946,0.34423874892730977,82.8134822509856,82.8134822509856
TT,TCGA-LUSC,TCGA-39-5030-01,TCGA-66-2734-01,0.0011763811290254993,0.30957205094187124,263.15625378852957,263.15625378852957
TT,TCGA-LUSC,TCGA-CC-A7IH-01,TCGA-L5-A88Z-01,0.004929670416805939,0.3993158656535853,81.00254822153249,81.00254822153249
TT,TCGA-LUSC,TCGA-66-2780-01,TCGA-90-A4EE-01,0.00276990363758221,0.34751924799885575,125.46257685057878,125.46257685057878
TT,TCGA-LUSC,TCGA-37-A5EM-01,TCGA-56-8623-01,0.001991265700510175,0.43457662411363573,218.24140495278678,218.24140495278678
TT,TCGA-LUSC,TCGA-52-7810-01,TCGA-66-2787-01,0.0032643005349400622,0.3012117825929742,92.27452539032376,92.27452539032376
TT,TCGA-LUSC,TCGA-66-2794-01,TCGA-77-6844-01,0.002743189001136021,0.28621283942112585,104.33580744986881,104.33580744986881
TT,TCGA-LUSC,TCGA-43-3394-01,TCGA-52-7622-01,0.0021650047274594337,0.22874380557210167,105.65510673989404,105.65510673989404
TT,TCGA-LUSC,TCGA-18-3419-01,TCGA-85-6560-01,0.0024359755357955684,0.4073437891018451,167.21998358198215,167.21998358198215
TT,TCGA-LUSC,TCGA-56-5897-01,TCGA-66-2771-01,0.004082924875207385,0.2984057425053301,73.0862682086878,73.0862682086878
TT,TCGA-LUSC,TCGA-66-2742-01,TCGA-L5-A43J-01,0.002939439643250697,0.2733819768204345,93.00479342998318,93.00479342998318
TT,TCGA-LUSC,TCGA-34-7107-01,TCGA-56-5897-01,0.0017921333741625746,0.2838168617637873,158.36815822729088,158.36815822729088
TT,TCGA-LUSC,TCGA-85-7843-01,TCGA-Q1-A5R1-01,0.0023351860315090987,0.38253242886014666,163.8124002535839,163.8124002535839
TT,TCGA-LUSC,TCGA-66-2794-01,TCGA-NK-A5D1-01,0.0028921001057331,0.3877883909009346,134.08539702073577,134.08539702073577
TT,TCGA-LUSC,TCGA-85-7950-01,TCGA-90-7964-01,0.002360227518378651,0.377468988400472,159.92906847377697,159.92906847377697
TT,TCGA-LUSC,TCGA-56-A4BX-01,TCGA-66-2789-01,0.002972182702173381,0.19115048540091334,64.3131679829562,64.3131679829562
TT,TCGA-LUSC,TCGA-CC-5263-01,TCGA-IG-A625-01,0.0035868094470930256,0.3841421159699852,107.09855698671642,107.09855698671642
TT,TCGA-LUSC,TCGA-85-6798-01,TCGA-IG-A4P3-01,0.00440673485080447,0.2727811183013559,61.900960129597635,61.900960129597635
TT,TCGA-LUSC,TCGA-34-8456-01,TCGA-66-2794-01,0.002289438868490874,0.24726134846589776,108.00085202925058,108.00085202925058
TT,TCGA-LUSC,TCGA-56-8083-01,TCGA-IF-A3RQ-01,0.005190643439826137,0.1985266733332668,38.24702575600464,38.24702575600464
TT,TCGA-LUSC,TCGA-68-7755-01,TCGA-94-8491-01,0.0031670770238442295,0.37058592489057035,117.01197100686534,117.01197100686534
TT,TCGA-LUSC,TCGA-56-8201-01,TCGA-85-A53L-01,0.0022541094233301385,0.3489793436258494,154.81916716814933,154.81916716814933
TT,TCGA-LUSC,TCGA-18-3411-01,TCGA-22-5480-01,0.004034539454564206,0.36481418953637457,90.42275918845371,90.42275918845371
TT,TCGA-LUSC,TCGA-66-2759-01,TCGA-CC-5259-01,0.019797243560189755,0.3151063935310511,15.916680146558281,15.916680146558281
TT,TCGA-LUSC,TCGA-IG-A3Y9-01,TCGA-L5-A8NW-01,0.00272059959682494,0.28619772983861663,105.19656408558689,105.19656408558689
TT,TCGA-LUSC,TCGA-22-5471-01,TCGA-34-5241-01,0.00261607216831546,0.29865020355347704,114.15977249044461,114.15977249044461
