series,rep,omega,k_f,k_n,k_total,cosine,eta
baseline,126,8.843754886525433,0.024558345493759962,0.0027769138571646385,0.0024336015819025943,0.011728281331921941,
baseline,127,10.409866556862106,0.025429767820941564,0.0024428524306277922,0.002684764460762659,0.012138767355604596,
baseline,128,13.387090387067179,0.02956710197613408,0.002208627948362691,0.0028667711814629017,0.012679151177955927,
baseline,129,8.132658780019437,0.01803008981622615,0.0022169981925865404,0.0026953270148373843,0.01050439441650064,
baseline,130,7.834228281391913,0.018897596836610284,0.0024121835818208676,0.0023501453696016176,0.011306101727420192,
baseline,131,6.882091255005105,0.019098228087010935,0.002775061733324367,0.0025694467643054813,0.01211269563650752,
baseline,132,13.049431376343058,0.029352563743210734,0.002249336610668198,0.0025896133551265264,0.012055216051994555,
baseline,133,15.810424418323036,0.03543375626989668,0.0022411641416046836,0.002699612208019242,0.012551521511354413,
baseline,134,11.149751093333862,0.03038475968751814,0.002725151389763703,0.0029830294855987486,0.01369606435449,
baseline,135,8.172223019393762,0.022760290590711538,0.002785079474299511,0.003317258966724477,0.012796927881176923,
baseline,136,12.426813845064247,0.03029477921165493,0.002437855719846289,0.002714891014932023,0.011625461906694667,
baseline,137,7.719983150645395,0.01987453795288045,0.0025744276334617295,0.002305075232730093,0.011452930785453064,
baseline,138,21.79416512395249,0.05204607000204247,0.002388073583274918,0.003217715016232161,0.013511184364858542,
baseline,139,7.313288059772845,0.019741313963774695,0.002699375958177131,0.00257511924501367,0.012355221807031525,
baseline,140,12.352509610339107,0.031378378083460695,0.002540243162992308,0.0026690865697599664,0.013101927171422001,
baseline,141,7.491195270971607,0.01786833114420533,0.0023852443432418775,0.0022697234085799073,0.010814124405601588,
baseline,142,8.848755931429512,0.02159760047842987,0.0024407499365778967,0.0025153144265455643,0.012172816699622668,
baseline,143,8.016917133470908,0.019819378837914844,0.0024721945490952186,0.00222891289871261,0.011617857457454916,
baseline,144,20.15576796505334,0.05558941661695242,0.0027579905024375643,0.0035228974885396953,0.014654508225630303,
baseline,145,8.044868568095943,0.019265843005108516,0.0023947989755248853,0.0024678837589226345,0.011888199455197257,
baseline,146,21.150224103215596,0.052745198555231514,0.0024938363914173535,0.003592956709288309,0.014647430713714216,
baseline,147,7.41925518667682,0.01925497115119828,0.002595270100127507,0.0025651067177142467,0.012058671402543686,
