cancer,pair_type,sample_a,sample_b,kn,kf,omega,d_immune,d_stromal,d_epithelial,d_overall
TCGA-LUAD,TT,TCGA-38-6178-01,TCGA-64-1679-01,0.002606135933103817,0.40163602432109347,154.11169433620407,0.97019005,0.3155015,0.08778274,0.45782474
TCGA-LUAD,TT,TCGA-75-6212-01,TCGA-TQ-A7RG-01,0.00670648647070533,0.5743576319173136,85.64210699986809,2.7777617,3.3197844,5.626081,3.9078758
TCGA-LUAD,TT,TCGA-05-4434-01,TCGA-TQ-A7RH-01,0.005308270750825706,0.19333483054336612,36.42143357387954,3.4040694,2.940916,4.629844,3.6582766
TCGA-LUAD,TT,TCGA-05-4403-01,TCGA-49-4490-01,0.005057807994237797,0.5311377249274915,105.0134219275623,0.02526094,0.38346726,0.08229685,0.16367501
TCGA-LUAD,TT,TCGA-05-5425-01,TCGA-50-5942-01,0.0053344379757074905,0.5269327108269752,98.77942404177823,1.1695952,0.01437299,0.30971247,0.49789357
TCGA-LUAD,TT,TCGA-86-8669-01,TCGA-MP-A4TD-01,0.0031535825034211904,0.45180294126317616,143.26656771244575,0.15733647,1.289652,0.13491924,0.52730256
TCGA-LUAD,TT,TCGA-78-7162-01,TCGA-KN-8431-01,0.010266730021838314,0.32252767150533046,31.414839079169642,3.3197687,4.492566,1.6570206,3.156452
TCGA-LUAD,TT,TCGA-50-6590-01,TCGA-55-6543-01,0.003473882174555214,0.44167899181985215,127.14276697551018,1.322293,0.43358508,0.2381833,0.6646871
TCGA-LUAD,TT,TCGA-50-5931-01,TCGA-55-7283-01,0.004405019348038167,0.5906427805310791,134.08403774528927,1.4681205,1.1069183,0.054479226,0.87650603
TCGA-LUAD,TT,TCGA-KN-8429-01,TCGA-NJ-A4YI-01,0.007915306633204637,0.534854623239567,67.57219246514808,0.69776297,4.992931,1.5812335,2.4239757
TCGA-LUAD,TT,TCGA-55-7816-01,TCGA-97-7547-01,0.0029804259873386658,0.5585823181952108,187.41693991669624,0.4344512,0.5660917,0.07979406,0.3601123
TCGA-LUAD,TT,TCGA-05-5429-01,TCGA-55-8512-01,0.00821454986300497,0.46830227814095504,57.00887887357045,0.85009795,1.4156263,0.3357455,0.86715657
TCGA-LUAD,TT,TCGA-93-7347-01,TCGA-93-A4JQ-01,0.0022296909826860474,0.2959185612352916,132.71729738925822,0.095021844,0.29977977,0.094698414,0.16316669
TCGA-LUAD,TT,TCGA-44-8120-01,TCGA-75-6211-01,0.004405724023573653,0.5764749926956464,130.8468232715233,0.20337151,0.3442729,0.17169929,0.23978125
TCGA-LUAD,TT,TCGA-49-6745-01,TCGA-97-A4M2-01,0.004363666334878065,0.5015257951300206,114.93220531583904,0.3754967,1.0352918,0.44501346,0.61860067
TCGA-LUAD,TT,TCGA-97-8547-01,TCGA-KN-8427-01,0.005179971187274105,0.16043171595856395,30.971546010276,0.14712405,0.9082487,1.5978482,0.884407
TCGA-LUAD,TT,TCGA-55-1596-01,TCGA-MP-A4SV-01,0.004867045568762487,0.4635856592685013,95.24991141317264,0.92061013,0.7539738,0.042824596,0.57246953
TCGA-LUAD,TT,TCGA-55-6970-01,TCGA-78-7167-01,0.003432104990164664,0.5466231237820127,159.26759972333687,1.2811599,0.061449733,0.1402892,0.49429962
TCGA-LUAD,TT,TCGA-50-5045-01,TCGA-55-8508-01,0.005450475992901515,0.49375019162293604,90.58845360771734,0.6856605,0.5245985,0.07138124,0.4272134
TCGA-LUAD,TT,TCGA-44-A479-01,TCGA-55-8094-01,0.00629709585661737,0.409949177796353,65.10130814755719,2.8267632,2.4322808,0.4761544,1.9117327
TCGA-LUAD,TT,TCGA-75-6205-01,TCGA-97-8172-01,0.003206660205929123,0.48485985268268494,151.2040009060448,0.0767926,0.31369227,0.12567064,0.17205183
TCGA-LUAD,TT,TCGA-05-4425-01,TCGA-MP-A4TH-01,0.0035705036605166262,0.5307923101232622,148.66034615588669,1.0584925,0.6670333,0.23554091,0.6536889
TCGA-LUAD,TT,TCGA-50-5941-01,TCGA-MT-A51W-01,0.004225799757642335,0.26261406941635046,62.14541257933824,1.7247379,1.1481652,1.2407374,1.3712136
TCGA-LUAD,TT,TCGA-50-5044-01,TCGA-55-8514-01,0.0064633088609411336,0.5617046961345389,86.9066770936811,0.8773336,0.8388243,0.11793995,0.611366
TCGA-LUAD,TT,TCGA-38-7271-01,TCGA-MT-A67F-01,0.0046963272848941666,0.504493894271979,107.42306991565387,0.85674953,0.55508137,2.899355,1.4370619
TCGA-LUAD,TT,TCGA-05-4425-01,TCGA-KN-8429-01,0.00631709869939141,0.3836769329849191,60.736257456588824,2.0989537,4.8259153,1.7090634,2.8779774
TCGA-LUAD,TT,TCGA-44-6148-01,TCGA-91-6848-01,0.0044807147440897276,0.6484353198638844,144.7169384570176,0.65137064,1.6011692,0.9730441,1.0751947
TCGA-LUAD,TT,TCGA-67-4679-01,TCGA-KN-8429-01,0.006532265179738494,0.39566847993667764,60.57140502561738,2.0577595,4.443175,1.3133038,2.604746
