scenario,n_genes_shifted,fold,rep,seed,cell_type,is_target,cki_omega,cki_k_n,cki_k_f,meld_auc_within_type,scdist_approx_dist
effect,100,8.0,8,100050,CD8 T cells,False,40.03127936431948,0.007095214950034662,0.28403053181473364,0.5184,5.518992052295176
effect,100,8.0,8,100050,FCGR3A+ Monocytes,False,12.925106790934,0.00301543722767894,0.03897484818910826,0.5061,9.77672938314933
effect,100,8.0,8,100050,NK cells,False,40.530908162460236,0.008493713225516829,0.34425791070169653,0.6075,12.346164100201866
effect,100,8.0,9,100051,B cells,False,33.18409831593321,0.00608510304731529,0.20192865778469538,0.5636,8.808459123983045
effect,100,8.0,9,100051,CD14+ Monocytes,True,47.40030894681987,0.0043723137539690565,0.20724902275056303,1.0,112.2133933384613
effect,100,8.0,9,100051,CD4 T cells,False,28.332880995445343,0.005717031551976689,0.16197997460936173,0.5908,4.062484904360368
effect,100,8.0,9,100051,CD8 T cells,False,7.972256174898513,0.007330808509934161,0.05844308341032119,0.5562,4.077073316904888
effect,100,8.0,9,100051,FCGR3A+ Monocytes,False,7.294493145215059,0.0031171951684984415,0.022738358788909382,0.4763,7.502359926963963
effect,100,8.0,9,100051,NK cells,False,6.824745071581098,0.007862125247364453,0.053657000534103876,0.5769,7.056872312278396
effect,100,8.0,10,100052,B cells,False,7.403468598140761,0.005493970352765995,0.040674436985819365,0.5712,6.1602006460511225
effect,100,8.0,10,100052,CD14+ Monocytes,True,10.63357288689116,0.014680676043593889,0.15610803873839257,1.0,96.20722302918527
effect,100,8.0,10,100052,CD4 T cells,False,6.929738296249033,0.005618500842611709,0.03893474045655382,0.5742,2.5933999849625473
effect,100,8.0,10,100052,CD8 T cells,False,52.61705249092466,0.0077182023879201435,0.4061090601807742,0.5094,7.574848603377529
effect,100,8.0,10,100052,FCGR3A+ Monocytes,False,10.479860530373347,0.0027849779028176792,0.029186180001700937,0.501,7.651364838206435
effect,100,8.0,10,100052,NK cells,False,42.81046012142963,0.00803533936352956,0.34399657538453593,0.61,8.07665606313531
effect,100,8.0,11,100053,B cells,False,15.551410473171437,0.005987478844538575,0.09311374121084962,0.5911,3.9974875285380973
effect,100,8.0,11,100053,CD14+ Monocytes,True,20.33508023935489,0.008417359657830421,0.17116768404549046,1.0,89.85264006173546
effect,100,8.0,11,100053,CD4 T cells,False,8.277052730498687,0.005691740597051666,0.04711083705011672,0.5732,5.76868731797171
effect,100,8.0,11,100053,CD8 T cells,False,6.969928297715812,0.007777693275660165,0.05420996445297778,0.5405,4.437657614963935
effect,100,8.0,11,100053,FCGR3A+ Monocytes,False,40.27534791544978,0.002776346547350184,0.11181832312838642,0.5807,7.522997171601152
effect,100,8.0,11,100053,NK cells,False,28.55318956111556,0.008505167633567996,0.24284966369033162,0.5134,4.645728183959486
effect,100,8.0,12,100054,B cells,False,31.578773709994355,0.006399112951221834,0.20207613983132844,0.583,4.036177212129139
effect,100,8.0,12,100054,CD14+ Monocytes,True,43.04422572536483,0.0039282067198960074,0.16908661674709874,1.0,110.71611504832583
effect,100,8.0,12,100054,CD4 T cells,False,7.164789789161381,0.005823924234734867,0.04172719288987789,0.5719,4.221963727230005
effect,100,8.0,12,100054,CD8 T cells,False,33.44459395986632,0.007468890993791947,0.2497940266178741,0.662,4.147839839307218
effect,100,8.0,12,100054,FCGR3A+ Monocytes,False,44.02879148221059,0.0029075665406903765,0.12801664094070897,0.5221,12.434445411057434
effect,100,8.0,12,100054,NK cells,False,28.446006144486752,0.008351603717453991,0.23756977066301463,0.6403,5.050398432384575
effect,100,8.0,13,100055,B cells,False,6.355685850846536,0.005804118958578981,0.036889156741670565,0.5357,6.77759541973236
effect,100,8.0,13,100055,CD14+ Monocytes,True,31.947688324566997,0.004870894324137132,0.1556138137294355,1.0,100.56078085527493
effect,100,8.0,13,100055,CD4 T cells,False,7.287392185977051,0.005199171416464894,0.037888401153901505,0.5574,5.009383451701128
effect,100,8.0,13,100055,CD8 T cells,False,6.709341957932835,0.00770043542509952,0.05166485449197258,0.5562,6.1353919747619265
effect,100,8.0,13,100055,FCGR3A+ Monocytes,False,110.01008190205214,0.0025286547818388285,0.2781775196521053,0.5057,7.5100805002867075
effect,100,8.0,13,100055,NK cells,False,29.219305869330523,0.008491618573432945,0.24811920042282531,0.6029,5.035719435392442
effect,100,8.0,14,100056,B cells,False,6.4803703765486365,0.006849416991981048,0.04438675897146285,0.5257,7.778966724305143
effect,100,8.0,14,100056,CD14+ Monocytes,True,40.16520406376408,0.004511011314005223,0.18118568996096834,1.0,101.2241707292375
effect,100,8.0,14,100056,CD4 T cells,False,37.203722643231565,0.0062028029183365425,0.23076735938442006,0.5533,7.248984920418455
effect,100,8.0,14,100056,CD8 T cells,False,34.35396137700389,0.007468457138375938,0.25657108807757595,0.572,4.064004050395519
effect,100,8.0,14,100056,FCGR3A+ Monocytes,False,12.773789225212308,0.0027572061479271067,0.03521997018408041,0.5374,4.070290592488341
