design,cell_type,n_per_condition,rep,donor,omega,perm_P,detected
C1_donor_paired,CD4 T cells,500,16,1488,28.731809098415145,0.25742574257425743,False
C1_donor_paired,CD4 T cells,500,17,1015,33.58989742414487,0.7425742574257426,False
C1_donor_paired,CD4 T cells,500,17,1244,26.28778561835069,0.38613861386138615,False
C1_donor_paired,CD4 T cells,500,17,1256,35.42093836517456,0.5544554455445545,False
C1_donor_paired,CD4 T cells,500,17,1488,40.46877965121217,1.0,False
C1_donor_paired,CD4 T cells,500,18,1015,42.38354539930455,0.5148514851485149,False
C1_donor_paired,CD4 T cells,500,18,1244,39.42212695839048,0.297029702970297,False
C1_donor_paired,CD4 T cells,500,18,1256,29.270382629713573,0.33663366336633666,False
C1_donor_paired,CD4 T cells,500,18,1488,42.4364338169586,0.45544554455445546,False
C1_donor_paired,CD4 T cells,500,19,1015,32.19192828113247,0.7227722772277227,False
C1_donor_paired,CD4 T cells,500,19,1244,36.7203707211215,0.5445544554455446,False
C1_donor_paired,CD4 T cells,500,19,1256,29.332056136061762,0.49504950495049505,False
C1_donor_paired,CD4 T cells,500,19,1488,34.34648277330007,0.46534653465346537,False
C2_pooled,CD4 T cells,50,0,pooled,15.231372087583035,0.009900990099009901,True
C2_pooled,CD4 T cells,50,1,pooled,11.727271507621735,0.009900990099009901,True
C2_pooled,CD4 T cells,50,2,pooled,13.55540757292951,0.009900990099009901,True
C2_pooled,CD4 T cells,50,3,pooled,14.806021737818144,0.009900990099009901,True
C2_pooled,CD4 T cells,50,4,pooled,22.973561958038644,0.801980198019802,False
C2_pooled,CD4 T cells,50,5,pooled,15.3847885019394,0.009900990099009901,True
C2_pooled,CD4 T cells,50,6,pooled,13.531477822202499,0.009900990099009901,True
C2_pooled,CD4 T cells,50,7,pooled,14.143427486239718,0.009900990099009901,True
C2_pooled,CD4 T cells,50,8,pooled,15.857107548174046,0.009900990099009901,True
C2_pooled,CD4 T cells,50,9,pooled,9.892883510262248,0.009900990099009901,True
C2_pooled,CD4 T cells,50,10,pooled,24.51224831451794,1.0,False
C2_pooled,CD4 T cells,50,11,pooled,33.11620206875176,0.9603960396039604,False
C2_pooled,CD4 T cells,50,12,pooled,23.556994607218478,0.9108910891089109,False
C2_pooled,CD4 T cells,50,13,pooled,27.046037711527298,0.04950495049504951,True
C2_pooled,CD4 T cells,50,14,pooled,19.506755358651397,0.49504950495049505,False
C2_pooled,CD4 T cells,50,15,pooled,14.173033491874355,0.009900990099009901,True
C2_pooled,CD4 T cells,50,16,pooled,13.340245480821777,0.009900990099009901,True
C2_pooled,CD4 T cells,50,17,pooled,25.55018153338739,0.9504950495049505,False
C2_pooled,CD4 T cells,50,18,pooled,14.338935546892232,0.009900990099009901,True
C2_pooled,CD4 T cells,50,19,pooled,13.282163989101301,0.009900990099009901,True
C2_pooled,CD4 T cells,100,0,pooled,40.824835278254064,0.9603960396039604,False
C2_pooled,CD4 T cells,100,1,pooled,21.15715777594885,0.009900990099009901,True
C2_pooled,CD4 T cells,100,2,pooled,18.854718739034073,0.009900990099009901,True
C2_pooled,CD4 T cells,100,3,pooled,21.11556806626064,0.009900990099009901,True
C2_pooled,CD4 T cells,100,4,pooled,28.879701992549144,0.009900990099009901,True
C2_pooled,CD4 T cells,100,5,pooled,26.63653384750612,0.8910891089108911,False
C2_pooled,CD4 T cells,100,6,pooled,33.76358445895716,0.18811881188118812,False
C2_pooled,CD4 T cells,100,7,pooled,43.07706690620633,0.16831683168316833,False
C2_pooled,CD4 T cells,100,8,pooled,49.292899211210006,0.1188118811881188,False
C2_pooled,CD4 T cells,100,9,pooled,19.90380018328854,0.009900990099009901,True
C2_pooled,CD4 T cells,100,10,pooled,29.857195372103362,0.9900990099009901,False
C2_pooled,CD4 T cells,100,11,pooled,19.77426983108013,0.009900990099009901,True
C2_pooled,CD4 T cells,100,12,pooled,18.270682019528657,0.6336633663366337,False
C2_pooled,CD4 T cells,100,13,pooled,33.0327585633447,0.5643564356435643,False
C2_pooled,CD4 T cells,100,14,pooled,42.895170279523605,0.2376237623762376,False
C2_pooled,CD4 T cells,100,15,pooled,22.320257340681298,0.009900990099009901,True
C2_pooled,CD4 T cells,100,16,pooled,20.11462383539836,0.009900990099009901,True
C2_pooled,CD4 T cells,100,17,pooled,13.05284438069124,0.009900990099009901,True
C2_pooled,CD4 T cells,100,18,pooled,15.74585508233447,0.009900990099009901,True
C2_pooled,CD4 T cells,100,19,pooled,20.7804260512127,0.009900990099009901,True
C2_pooled,CD4 T cells,200,0,pooled,36.89154294073751,0.5346534653465347,False
C2_pooled,CD4 T cells,200,1,pooled,43.59511885345099,0.49504950495049505,False
C2_pooled,CD4 T cells,200,2,pooled,44.02163861413027,0.24752475247524752,False
C2_pooled,CD4 T cells,200,3,pooled,30.361345753068644,0.0891089108910891,False
C2_pooled,CD4 T cells,200,4,pooled,28.60813692400941,0.39603960396039606,False
C2_pooled,CD4 T cells,200,5,pooled,30.54495411352622,0.24752475247524752,False
C2_pooled,CD4 T cells,200,6,pooled,31.173998226284795,0.49504950495049505,False
C2_pooled,CD4 T cells,200,7,pooled,28.2200435794442,0.32673267326732675,False
C2_pooled,CD4 T cells,200,8,pooled,32.50633992854874,0.5742574257425742,False
C2_pooled,CD4 T cells,200,9,pooled,29.855036450421334,0.18811881188118812,False
C2_pooled,CD4 T cells,200,10,pooled,21.289305777604852,0.009900990099009901,True
C2_pooled,CD4 T cells,200,11,pooled,23.740038721559035,0.009900990099009901,True
C2_pooled,CD4 T cells,200,12,pooled,26.289755362790142,0.2079207920792079,False
C2_pooled,CD4 T cells,200,13,pooled,36.60873298450955,0.2376237623762376,False
C2_pooled,CD4 T cells,200,14,pooled,29.031455956601274,0.3069306930693069,False
C2_pooled,CD4 T cells,200,15,pooled,20.693777711479616,0.5445544554455446,False
C2_pooled,CD4 T cells,200,16,pooled,27.21281151032872,0.31683168316831684,False
C2_pooled,CD4 T cells,200,17,pooled,17.246323761095425,0.49504950495049505,False
C2_pooled,CD4 T cells,200,18,pooled,35.98933325867557,0.5346534653465347,False
C2_pooled,CD4 T cells,200,19,pooled,26.7446385645587,0.009900990099009901,True
C2_pooled,CD4 T cells,500,0,pooled,35.69369708394591,0.6237623762376238,False
C2_pooled,CD4 T cells,500,1,pooled,31.11350869423119,0.44554455445544555,False
C2_pooled,CD4 T cells,500,2,pooled,26.94118324874346,0.38613861386138615,False
C2_pooled,CD4 T cells,500,3,pooled,39.8946855517028,0.297029702970297,False
C2_pooled,CD4 T cells,500,4,pooled,30.147439876884103,0.38613861386138615,False
C2_pooled,CD4 T cells,500,5,pooled,28.714118011038124,0.1782178217821782,False
C2_pooled,CD4 T cells,500,6,pooled,30.477225257925753,0.4752475247524752,False
C2_pooled,CD4 T cells,500,7,pooled,41.33504530314148,0.44554455445544555,False
C2_pooled,CD4 T cells,500,8,pooled,30.417373486274208,0.5742574257425742,False
C2_pooled,CD4 T cells,500,9,pooled,33.97671782435241,0.21782178217821782,False
C2_pooled,CD4 T cells,500,10,pooled,30.581784549678975,0.38613861386138615,False
C2_pooled,CD4 T cells,500,11,pooled,23.084273604465245,0.21782178217821782,False
C2_pooled,CD4 T cells,500,12,pooled,32.442877571015146,0.2376237623762376,False
C2_pooled,CD4 T cells,500,13,pooled,33.996247584084024,0.3465346534653465,False
C2_pooled,CD4 T cells,500,14,pooled,32.09202464326644,0.4158415841584158,False
C2_pooled,CD4 T cells,500,15,pooled,34.12274255959171,0.5841584158415841,False
C2_pooled,CD4 T cells,500,16,pooled,30.03679964951744,0.46534653465346537,False
C2_pooled,CD4 T cells,500,17,pooled,34.10769280084068,0.26732673267326734,False
C2_pooled,CD4 T cells,500,18,pooled,30.571784492185476,0.5445544554455446,False
C2_pooled,CD4 T cells,500,19,pooled,30.218928932570766,0.5148514851485149,False
C2_pooled,CD4 T cells,1000,0,pooled,36.48747202926675,0.2871287128712871,False
C2_pooled,CD4 T cells,1000,1,pooled,32.52400391784888,0.3564356435643564,False
C2_pooled,CD4 T cells,1000,2,pooled,42.93015195538025,0.13861386138613863,False
C2_pooled,CD4 T cells,1000,3,pooled,35.374965068969104,0.36633663366336633,False
C2_pooled,CD4 T cells,1000,4,pooled,35.58560692583673,0.4752475247524752,False
C2_pooled,CD4 T cells,1000,5,pooled,37.418696646238054,0.26732673267326734,False
C2_pooled,CD4 T cells,1000,6,pooled,40.82106361837393,0.2079207920792079,False
C2_pooled,CD4 T cells,1000,7,pooled,34.70694038801403,0.38613861386138615,False
C2_pooled,CD4 T cells,1000,8,pooled,34.715210314119695,0.2871287128712871,False
C2_pooled,CD4 T cells,1000,9,pooled,36.77485343142766,0.3069306930693069,False
C2_pooled,CD4 T cells,1000,10,pooled,39.22743384308877,0.36633663366336633,False
C2_pooled,CD4 T cells,1000,11,pooled,34.931350971234885,0.39603960396039606,False
C2_pooled,CD4 T cells,1000,12,pooled,35.46840194230323,0.36633663366336633,False
C2_pooled,CD4 T cells,1000,13,pooled,37.49124327986209,0.31683168316831684,False
C2_pooled,CD4 T cells,1000,14,pooled,34.30356881984042,0.3465346534653465,False
C2_pooled,CD4 T cells,1000,15,pooled,37.364731374174795,0.1782178217821782,False
C2_pooled,CD4 T cells,1000,16,pooled,38.56662349146756,0.3465346534653465,False
C2_pooled,CD4 T cells,1000,17,pooled,34.65364250590679,0.31683168316831684,False
C2_pooled,CD4 T cells,1000,18,pooled,36.723245577168264,0.2871287128712871,False
C2_pooled,CD4 T cells,1000,19,pooled,38.36428454004538,0.3069306930693069,False
C1_donor_paired,CD8 T cells,50,0,101,30.192884151900934,0.15841584158415842,False
C1_donor_paired,CD8 T cells,50,0,1015,14.506163770419567,0.504950495049505,False
C1_donor_paired,CD8 T cells,50,0,1016,12.656270347909299,0.009900990099009901,True
C1_donor_paired,CD8 T cells,50,0,1256,12.765569616044527,0.009900990099009901,True
C1_donor_paired,CD8 T cells,50,1,101,29.470986627568884,0.13861386138613863,False
C1_donor_paired,CD8 T cells,50,1,1015,14.495037048496519,0.5148514851485149,False
C1_donor_paired,CD8 T cells,50,1,1016,12.319720561584006,0.009900990099009901,True
C1_donor_paired,CD8 T cells,50,1,1256,13.066618346327495,0.009900990099009901,True
C1_donor_paired,CD8 T cells,50,2,101,11.032844773708877,0.009900990099009901,True
C1_donor_paired,CD8 T cells,50,2,1015,23.395422187980156,0.900990099009901,False
C1_donor_paired,CD8 T cells,50,2,1016,11.695521350776243,0.009900990099009901,True
C1_donor_paired,CD8 T cells,50,2,1256,10.995353655702464,0.009900990099009901,True
C1_donor_paired,CD8 T cells,50,3,101,26.82708181957596,0.7029702970297029,False
C1_donor_paired,CD8 T cells,50,3,1015,33.61879315238097,0.009900990099009901,True
C1_donor_paired,CD8 T cells,50,3,1016,10.73987893445892,0.009900990099009901,True
C1_donor_paired,CD8 T cells,50,3,1256,12.8319185059275,0.009900990099009901,True
C1_donor_paired,CD8 T cells,50,4,101,27.556520303639356,0.8514851485148515,False
C1_donor_paired,CD8 T cells,50,4,1015,22.950380747028838,0.9603960396039604,False
C1_donor_paired,CD8 T cells,50,4,1016,12.35907836961642,0.009900990099009901,True
C1_donor_paired,CD8 T cells,50,4,1256,12.952901377927283,0.009900990099009901,True
C1_donor_paired,CD8 T cells,50,5,101,28.445093751168635,0.44554455445544555,False
C1_donor_paired,CD8 T cells,50,5,1015,30.229527587645308,0.3465346534653465,False
C1_donor_paired,CD8 T cells,50,5,1016,11.827039935306962,0.009900990099009901,True
C1_donor_paired,CD8 T cells,50,5,1256,13.090047643020718,0.009900990099009901,True
C1_donor_paired,CD8 T cells,50,6,101,28.216098855861418,0.42574257425742573,False
C1_donor_paired,CD8 T cells,50,6,1015,19.779445600624285,0.9900990099009901,False
